										
권리사 지역	권리사	권리사 유형	유통사분류	유통사	아티스트분류	아티스트	 음원명 	 곡수 	 2022년 	 2023년 
 국내 	BIGHIT MUSIC	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	방탄소년단	 Born Singer 	 1 	 1 	
 국내 	BIGHIT MUSIC	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	방탄소년단	 Butter 	 1 	 1 	 1 
 국내 	BIGHIT MUSIC	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	 투모로우바이투게더 	 Devil by the Window 	 1 		 1 
 국내 	BIGHIT MUSIC	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	방탄소년단	 Dynamite 	 1 	 1 	 1 
 국내 	BIGHIT MUSIC	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	 지민 	 Face-off 	 1 		 1 
 국내 	BIGHIT MUSIC	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	방탄소년단	 For Youth 	 1 	 1 	
 국내 	BIGHIT MUSIC	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	 투모로우바이투게더 	 Good Boy Gone Bad 	 1 	 1 	 1 
 국내 	BIGHIT MUSIC	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	 투모로우바이투게더 	 Happy Fools (feat. Coi Leray) 	 1 		 1 
 국내 	BIGHIT MUSIC	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	방탄소년단	 Life Goes On 	 1 	 1 	
 국내 	BIGHIT MUSIC	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	 지민 	 Like Crazy 	 1 		 1 
 국내 	BIGHIT MUSIC	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	 투모로우바이투게더 	 LO$ER=LO♡ER 	 1 		 1 
 국내 	BIGHIT MUSIC	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	j-hope	 MORE 	 1 	 1 	
 국내 	BIGHIT MUSIC	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	j-hope	 on the street (with J. Cole) 	 1 		 1 
 국내 	BIGHIT MUSIC	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	방탄소년단	 Permission to Dance 	 1 	 1 	 1 
 국내 	BIGHIT MUSIC	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	 지민 	 Set Me Free Pt.2 	 1 		 1 
 국내 	BIGHIT MUSIC	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	 정국 	 Stay Alive (Prod. SUGA of BTS) 	 1 	 1 	
 국내 	BIGHIT MUSIC	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	 투모로우바이투게더 	 Sugar Rush Ride 	 1 		 1 
 국내 	BIGHIT MUSIC	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	방탄소년단	 Take Two 	 1 		 1 
 국내 	BIGHIT MUSIC	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	 진 (JIN) 	 The Astronaut 	 1 	 1 	
 국내 	BIGHIT MUSIC	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	방탄소년단	 The Planet 	 1 		 1 
 국내 	BIGHIT MUSIC	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	 투모로우바이투게더 	 Tinnitus (돌멩이가 되고 싶어) 	 1 		 1 
 국내 	BIGHIT MUSIC	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	방탄소년단	 Yet To Come 	 1 	 1 	 1 
 국내 	BIGHIT MUSIC	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	 투모로우바이투게더 	 네버랜드를 떠나며 	 1 		 1 
