일자	년도	곡수	순위	곡코드	곡명	아티스트명	앨범명	발매일	발매년도	앨범소장르	앨범대장르	유통사	기획사
2024-01-01	2024년	1	33	102951296	Fast Forward	전소미	GAME PLAN	2023-08-07	이전 발매	댄스	가요	(주)와이지플러스	THEBLACKLABEL
2024-01-01	2024년	1	34	97976355	After LIKE	IVE (아이브)	After LIKE	2022-08-22	이전 발매	댄스	가요	주식회사 카카오엔터테인먼트	스타쉽 엔터테인먼트
2024-01-01	2024년	1	35	101545646	이브, 프시케 그리고 푸른 수염의 아내	LE SSERAFIM (르세라핌)	UNFORGIVEN	2023-05-01	이전 발매	댄스	가요	(주)와이지플러스	쏘스뮤직
2024-01-01	2024년	1	36	101593941	Spicy	aespa	MY WORLD - The 3rd Mini Album	2023-05-08	이전 발매	R&B/소울	가요	주식회사 카카오엔터테인먼트	SM ENTERTAINMENT
2024-01-01	2024년	1	37	96480048	LOVE DIVE	IVE (아이브)	LOVE DIVE	2022-04-05	이전 발매	댄스	가요	주식회사 카카오엔터테인먼트	스타쉽 엔터테인먼트
2024-01-01	2024년	1	38	101529417	물론	허각	물론	2023-04-28	이전 발매	발라드	가요	주식회사 벅스(BUGS Corporation)	니즈뮤직
2024-01-01	2024년	1	39	103967821	잠시라도 우리	성시경 & 나얼	잠시라도 우리	2023-10-19	이전 발매	발라드	가요	주식회사 카카오엔터테인먼트	에스케이재원㈜
2024-01-01	2024년	1	40	93336453	다정히 내 이름을 부르면	경서예지 & 전건호	다정히 내 이름을 부르면	2021-05-19	이전 발매	발라드	가요	주식회사 카카오엔터테인먼트	에버그로우
2024-01-01	2024년	1	41	85902364	Dangerously	Charlie Puth	Nine Track Mind (Deluxe Edition)	2016-11-11	이전 발매	팝	POP	워너뮤직코리아(주)(해외)	Artist Partner
2024-01-01	2024년	1	42	101122641	사랑하지 않아서 그랬어	임한별	사랑하지 않아서 그랬어	2023-04-02	이전 발매	발라드	가요	주식회사 카카오엔터테인먼트	플렉스엠
2024-01-01	2024년	1	43	99792734	OMG	NewJeans	NewJeans 'OMG'	2023-01-02	이전 발매	댄스	가요	(주)와이지플러스	ADOR
2024-01-01	2024년	1	44	104934537	화이트 (White)	폴킴	화이트 (White)	2023-12-21	이전 발매	댄스	가요	주식회사 카카오엔터테인먼트	와이예스 엔터테인먼트
2024-01-01	2024년	1	45	95376934	취중고백	김민석	취중고백	2021-12-19	이전 발매	발라드	가요	(주)비타민엔터테인먼트(국내)	프로젝트 리본
2024-01-01	2024년	1	46	88686378	주저하는 연인들을 위해	잔나비	전설	2019-03-13	이전 발매	인디	가요	주식회사 카카오엔터테인먼트	페포니 뮤직
2024-01-01	2024년	1	47	89382909	어떻게 이별까지 사랑하겠어, 널 사랑하는 거지	AKMU (악뮤)	항해	2019-09-25	이전 발매	락	가요	(주)와이지플러스	(주)YG엔터테인먼트
