타입	아티스트명	앨범명	곡명	투자구분	서비스적용일(+이관일)	권리사(LH)
그 외 기타	Shasa	비밀의 집 OST Part.5	your missing face	일반	2025-08-01	주식회사 강공컴퍼니
EP	사야 (SAya)	Listen-Up (리슨업) EP.6	Movie (Prod. by 김승수 & 정키)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	DKZ	Listen-Up (리슨업) EP.6	잠 못 드는 밤 비는 내리고 (Prod. by 이대휘)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	이예준	Listen-Up (리슨업) EP.6	다시 와주라 (Prod. by DOKO (도코))	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	정세운	Listen-Up (리슨업) EP.6	아틀란티스 소녀 (Prod. by 팔로알토 (Paloalto))	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	사야 (SAya)	Listen-Up (리슨업) EP.6	Movie (Prod. by 김승수 & 정키) (Inst.)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	DKZ	Listen-Up (리슨업) EP.6	잠 못 드는 밤 비는 내리고 (Prod. by 이대휘) (Inst.)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	이예준	Listen-Up (리슨업) EP.6	다시 와주라 (Prod. by DOKO (도코)) (Inst.)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	정세운	Listen-Up (리슨업) EP.6	아틀란티스 소녀 (Prod. by 팔로알토 (Paloalto)) (Inst.)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	GHOST9 (고스트나인)	Listen-Up (리슨업) EP.5	MONSTER (Prod. by 이대휘 & DOKO (도코))	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	로켓펀치 (Rocket Punch)	Listen-Up (리슨업) EP.5	Thanks to (리슨 업) (Prod. by 라이언전 & LAS (라스))	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	이병찬	Listen-Up (리슨업) EP.5	Fallin' (Prod. by 팔로알토 (Paloalto) & PATEKO (파테코))	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	허성현 (Huh) & BIG Naughty (서동현)	Listen-Up (리슨업) EP.5	Revival (Prod. by BIG Naughty (서동현) & 프라이머리)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	GHOST9 (고스트나인)	Listen-Up (리슨업) EP.5	MONSTER (Prod. by 이대휘 & DOKO (도코)) (Inst.)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	로켓펀치 (Rocket Punch)	Listen-Up (리슨업) EP.5	Thanks to (리슨 업) (Prod. by 라이언전 & LAS (라스)) (Inst.)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	이병찬	Listen-Up (리슨업) EP.5	Fallin' (Prod. by 팔로알토 (Paloalto) & PATEKO (파테코)) (Inst.)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	허성현 (Huh) & BIG Naughty (서동현)	Listen-Up (리슨업) EP.5	Revival (Prod. by BIG Naughty (서동현) & 프라이머리) (Inst.)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
그 외 기타	한영주	비밀의 집 OST Part.4	가지마	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	한영주	비밀의 집 OST Part.4	가지마 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
EP	Kid Wine	Listen-Up (리슨업) EP.4	모두 잊은 것처럼, 아무 일 없던 것처럼 (2:00 am) (Prod. by PATEKO (파테코))	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	렌	Listen-Up (리슨업) EP.4	LOCO (9:00 pm) (Prod. by 라이언전)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	백아연	Listen-Up (리슨업) EP.4	딱 하루만 (1:00 am) (Prod. by 팔로알토 (Paloalto))	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	송하예	Listen-Up (리슨업) EP.4	아파서 (00:00 am) (Prod. by 이대휘)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	위키미키 (Weki Meki)	Listen-Up (리슨업) EP.4	STUPID L♡VE (6:00 pm) (Prod. by 김승수)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	Kid Wine	Listen-Up (리슨업) EP.4	모두 잊은 것처럼, 아무 일 없던 것처럼 (2:00 am) (Prod. by PATEKO (파테코)) (Inst.)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	렌	Listen-Up (리슨업) EP.4	LOCO (9:00 pm) (Prod. by 라이언전) (Inst.)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	백아연	Listen-Up (리슨업) EP.4	딱 하루만 (1:00 am) (Prod. by 팔로알토 (Paloalto)) (Inst.)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	송하예	Listen-Up (리슨업) EP.4	아파서 (00:00 am) (Prod. by 이대휘) (Inst.)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	위키미키 (Weki Meki)	Listen-Up (리슨업) EP.4	STUPID L♡VE (6:00 pm) (Prod. by 김승수) (Inst.)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	챈슬러 & 문수진 (Moon Sujin) & Jason Lee (제이슨 리)	Listen-Up (리슨업) EP.3	Dot (00:59 am) (Prod. by 픽보이 (Peakboy))	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	Skinny Brown & 김승민 & JAY B & BIG Naughty (서동현)	Listen-Up (리슨업) EP.3	풀리지 않는 고민 (3:00 am) (Prod. by BIG Naughty (서동현))	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	솔라 (마마무)	Listen-Up (리슨업) EP.3	IMAGE (5:52 am) (Prod. by 정키)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	체리블렛 (Cherry Bullet)	Listen-Up (리슨업) EP.3	어디야? (4:00 am) (Prod. by LAS (라스))	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	유브이 (UV)	Listen-Up (리슨업) EP.3	막잔 (11:00 pm) (Prod. by DOKO (도코))	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	챈슬러 & 문수진 (Moon Sujin) & Jason Lee (제이슨 리)	Listen-Up (리슨업) EP.3	Dot (00:59 am) (Prod. by 픽보이 (Peakboy)) (Inst.)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	Skinny Brown & 김승민 & JAY B & BIG Naughty (서동현)	Listen-Up (리슨업) EP.3	풀리지 않는 고민 (3:00 am) (Prod. by BIG Naughty (서동현)) (Inst.)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	솔라 (마마무)	Listen-Up (리슨업) EP.3	IMAGE (5:52 am) (Prod. by 정키) (Inst.)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	체리블렛 (Cherry Bullet)	Listen-Up (리슨업) EP.3	어디야? (4:00 am) (Prod. by LAS (라스)) (Inst.)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	유브이 (UV)	Listen-Up (리슨업) EP.3	막잔 (11:00 pm) (Prod. by DOKO (도코)) (Inst.)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
그 외 기타	강주원	비밀의 집 OST Part.3	거짓말	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	강주원	비밀의 집 OST Part.3	거짓말 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
EP	신용재 (2F)	Listen-Up (리슨업) EP.2	그 여름 (Prod. by 김승수)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	THAMA & Jayci yucca (제이씨 유카)	Listen-Up (리슨업) EP.2	떠나 (Prod. by PATEKO (파테코))	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	저스디스 (JUSTHIS)	Listen-Up (리슨업) EP.2	써머타임 (Prod. by 팔로알토 (Paloalto))	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	남우현	Listen-Up (리슨업) EP.2	불꽃놀이 (Prod. by 픽보이 (Peakboy))	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	유성은 & 황문섭	Listen-Up (리슨업) EP.2	I HATE SUN (Prod. by 정키)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	BIG Naughty (서동현) & 릴러말즈 (Leellamarz)	Listen-Up (리슨업) EP.2	여름 밤에 쓴 노래 (With MVP) (Prod. by BIG Naughty (서동현))	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	신용재 (2F)	Listen-Up (리슨업) EP.2	그 여름 (Prod. by 김승수) (Inst.)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	THAMA & Jayci yucca (제이씨 유카)	Listen-Up (리슨업) EP.2	떠나 (Prod. by PATEKO (파테코)) (Inst.)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	저스디스 (JUSTHIS)	Listen-Up (리슨업) EP.2	써머타임 (Prod. by 팔로알토 (Paloalto)) (Inst.)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	남우현	Listen-Up (리슨업) EP.2	불꽃놀이 (Prod. by 픽보이 (Peakboy)) (Inst.)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	유성은 & 황문섭	Listen-Up (리슨업) EP.2	I HATE SUN (Prod. by 정키) (Inst.)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	BIG Naughty (서동현) & 릴러말즈 (Leellamarz)	Listen-Up (리슨업) EP.2	여름 밤에 쓴 노래 (With MVP) (Prod. by BIG Naughty (서동현)) (Inst.)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	EXN & 시온	Listen-Up (리슨업) EP.1	악몽 (With 프라우드먼) (Prod. by LAS (라스))	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	경서	Listen-Up (리슨업) EP.1	이런 기분 처음이야 (Prod. by DOKO (도코))	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	Weeekly (위클리)	Listen-Up (리슨업) EP.1	Airplane Mode (Prod. by 이대휘)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	에일리 (Ailee)	Listen-Up (리슨업) EP.1	Kiss me happy (Prod. by 라이언전)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	EXN & 시온	Listen-Up (리슨업) EP.1	악몽 (With 프라우드먼) (Prod. by LAS (라스)) (Inst.)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	경서	Listen-Up (리슨업) EP.1	이런 기분 처음이야 (Prod. by DOKO (도코)) (Inst.)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	Weeekly (위클리)	Listen-Up (리슨업) EP.1	Airplane Mode (Prod. by 이대휘) (Inst.)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
EP	에일리 (Ailee)	Listen-Up (리슨업) EP.1	Kiss me happy (Prod. by 라이언전) (Inst.)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
싱글	한영주	비밀의 집 OST Part.2	나쁜 꿈	일반	2025-08-01	주식회사 강공컴퍼니
싱글	한영주	비밀의 집 OST Part.2	나쁜 꿈 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
싱글	walo (왈로)	방구석래퍼 Part.3 Final	Back in my block (Feat. 조광일)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
싱글	TAKUWA	방구석래퍼 Part.3 Final	타쿠와 (Feat. KOONTA)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
싱글	썹 (Ssup)	방구석래퍼 Part.3 Final	무지 (Feat. 보이비) (Prod. by h4rdy)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
싱글	TAKUWA & 후카 (Huka)	방구석래퍼 Part.2 Semi-Final	Hood star (Feat. 365LIT) (Prod. by KOONTA)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
싱글	썹 (Ssup) & 트릴라 갱 (TRILLA GANG)	방구석래퍼 Part.2 Semi-Final	암쏘리 (Feat. 행주) (Prod. by Keymaker)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
싱글	walo (왈로) & Kool Aid	방구석래퍼 Part.2 Semi-Final	무법 (Move Up) (Prod. by Deepflow & Van Ruther)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
싱글	트릴라 갱 (TRILLA GANG) & walo (왈로) & 썹 (Ssup) & Kool Aid & 후카 (Huka) & TAKUWA	방구석래퍼 Part.1	ANOTHER LEVEL (Prod. by 원썬)	일반	2025-08-01	주식회사 에이투지엔터테인먼트
싱글	한영주	비밀의 집 OST Part.1	Goodbye	일반	2025-08-01	주식회사 강공컴퍼니
싱글	한영주	비밀의 집 OST Part.1	Goodbye (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	기다온	찬란한 내 인생 OST Special Album	SUNSHINE	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	기다온	찬란한 내 인생 OST Special Album	SUNSHINE (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	ISHA (이샤)	찬란한 내 인생 OST Special Album	반짝여라 인생아	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	ISHA (이샤)	찬란한 내 인생 OST Special Album	반짝여라 인생아 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	박강성	찬란한 내 인생 OST Special Album	그대를 사랑합니다	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	박강성	찬란한 내 인생 OST Special Album	그대를 사랑합니다 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	박강성	찬란한 내 인생 OST Special Album	그대를 사랑합니다 (Guitar Ver.)	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	박강성	찬란한 내 인생 OST Special Album	그대를 사랑합니다 (Guitar Ver.) (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	서지오	찬란한 내 인생 OST Special Album	우리 서로가	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	서지오	찬란한 내 인생 OST Special Album	우리 서로가 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	RB4 (알비포)	찬란한 내 인생 OST Special Album	둘이서	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	RB4 (알비포)	찬란한 내 인생 OST Special Album	둘이서 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	이보람	찬란한 내 인생 OST Special Album	너의 집	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	이보람	찬란한 내 인생 OST Special Album	너의 집 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	이준용 & 양시하 (느와르)	찬란한 내 인생 OST Special Album	널 놓지 않을게	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	이준용 & 양시하 (느와르)	찬란한 내 인생 OST Special Album	널 놓지 않을게 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	윤여규	찬란한 내 인생 OST Special Album	내 안엔 그대가 살아	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	윤여규	찬란한 내 인생 OST Special Album	내 안엔 그대가 살아 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	프레셔스 (은비 & 지효 & 이수)	찬란한 내 인생 OST Special Album	I need you	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	프레셔스 (은비 & 지효 & 이수)	찬란한 내 인생 OST Special Album	I need you (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	Shasa	찬란한 내 인생 OST Special Album	when you walk alone	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	Shasa	찬란한 내 인생 OST Special Album	to Love	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	Shasa	찬란한 내 인생 OST Special Album	cat walk	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	Shasa	찬란한 내 인생 OST Special Album	Oh Happy	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	Shasa	찬란한 내 인생 OST Special Album	my love my Heart	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	Shasa	찬란한 내 인생 OST Special Album	because it's dawn	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	Shasa	찬란한 내 인생 OST Special Album	I like the two	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	Shasa	찬란한 내 인생 OST Special Album	tears flow	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	Shasa	찬란한 내 인생 OST Special Album	dark coming	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	Shasa	찬란한 내 인생 OST Special Album	in the name of love	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	Shasa	찬란한 내 인생 OST Special Album	heavy heart sorrow	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	Shasa	찬란한 내 인생 OST Special Album	I close my eyes and feel you	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	Shasa	찬란한 내 인생 OST Special Album	you in the devil	일반	2025-08-01	주식회사 강공컴퍼니
정규	전영록	어쩌다 가족 OST Special Album (TV조선 일요드라마)	꿈꾸는 달팽이	일반	2025-08-01	주식회사 강공컴퍼니
정규	이본	어쩌다 가족 OST Special Album (TV조선 일요드라마)	어떡해	일반	2025-08-01	주식회사 강공컴퍼니
정규	고재근	어쩌다 가족 OST Special Album (TV조선 일요드라마)	안변합니다	일반	2025-08-01	주식회사 강공컴퍼니
정규	전영록 & 김성현	어쩌다 가족 OST Special Album (TV조선 일요드라마)	바람꽃	일반	2025-08-01	주식회사 강공컴퍼니
정규	서주경	어쩌다 가족 OST Special Album (TV조선 일요드라마)	어쩌다	일반	2025-08-01	주식회사 강공컴퍼니
정규	KOYO (코요)	어쩌다 가족 OST Special Album (TV조선 일요드라마)	I Miss You	일반	2025-08-01	주식회사 강공컴퍼니
정규	요요미	어쩌다 가족 OST Special Album (TV조선 일요드라마)	사는게 다	일반	2025-08-01	주식회사 강공컴퍼니
정규	신인선	어쩌다 가족 OST Special Album (TV조선 일요드라마)	From Heart	일반	2025-08-01	주식회사 강공컴퍼니
정규	신인선	어쩌다 가족 OST Special Album (TV조선 일요드라마)	From Heart (Acoustic Ver.)	일반	2025-08-01	주식회사 강공컴퍼니
정규	AleXa (알렉사)	어쩌다 가족 OST Special Album (TV조선 일요드라마)	어제도 오늘도 너무 보고싶어	일반	2025-08-01	주식회사 강공컴퍼니
정규	류지광	어쩌다 가족 OST Special Album (TV조선 일요드라마)	말해야 할까	일반	2025-08-01	주식회사 강공컴퍼니
정규	3YE (써드아이)	어쩌다 가족 OST Special Album (TV조선 일요드라마)	너만 몰라	일반	2025-08-01	주식회사 강공컴퍼니
정규	VAV	어쩌다 가족 OST Special Album (TV조선 일요드라마)	이 밤	일반	2025-08-01	주식회사 강공컴퍼니
정규	홍시	어쩌다 가족 OST Special Album (TV조선 일요드라마)	이렇게 살다가	일반	2025-08-01	주식회사 강공컴퍼니
정규	RB4 (알비포)	어쩌다 가족 OST Special Album (TV조선 일요드라마)	난 널, 넌 날	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	어쩌다 가족 OST Special Album (TV조선 일요드라마)	Familia	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	어쩌다 가족 OST Special Album (TV조선 일요드라마)	Honey Bee	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	어쩌다 가족 OST Special Album (TV조선 일요드라마)	Next Door	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	어쩌다 가족 OST Special Album (TV조선 일요드라마)	Woohoo	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	어쩌다 가족 OST Special Album (TV조선 일요드라마)	Casanova	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	어쩌다 가족 OST Special Album (TV조선 일요드라마)	Go Again	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	어쩌다 가족 OST Special Album (TV조선 일요드라마)	Disco Funk	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	어쩌다 가족 OST Special Album (TV조선 일요드라마)	Reed Comic	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	어쩌다 가족 OST Special Album (TV조선 일요드라마)	HF Family Polka	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	어쩌다 가족 OST Special Album (TV조선 일요드라마)	Mr. Kim	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	어쩌다 가족 OST Special Album (TV조선 일요드라마)	Rumble Trot	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	어쩌다 가족 OST Special Album (TV조선 일요드라마)	Neighborhood	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	어쩌다 가족 OST Special Album (TV조선 일요드라마)	Dumb	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	어쩌다 가족 OST Special Album (TV조선 일요드라마)	Mega	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	어쩌다 가족 OST Special Album (TV조선 일요드라마)	Family Polka	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	어쩌다 가족 OST Special Album (TV조선 일요드라마)	HF Light	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	어쩌다 가족 OST Special Album (TV조선 일요드라마)	Papa	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	어쩌다 가족 OST Special Album (TV조선 일요드라마)	Hawaii	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	어쩌다 가족 OST Special Album (TV조선 일요드라마)	Here I am	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	어쩌다 가족 OST Special Album (TV조선 일요드라마)	Otter	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	어쩌다 가족 OST Special Album (TV조선 일요드라마)	Happy Family	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	어쩌다 가족 OST Special Album (TV조선 일요드라마)	Comedy is Ordinary	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	어쩌다 가족 OST Special Album (TV조선 일요드라마)	Yes Trot	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	어쩌다 가족 OST Special Album (TV조선 일요드라마)	Rumbling Train E. Gt	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	어쩌다 가족 OST Special Album (TV조선 일요드라마)	Kitty	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	어쩌다 가족 OST Special Album (TV조선 일요드라마)	Cute Baby	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	어쩌다 가족 OST Special Album (TV조선 일요드라마)	Prove It	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	어쩌다 가족 OST Special Album (TV조선 일요드라마)	Say Family	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	어쩌다 가족 OST Special Album (TV조선 일요드라마)	Love Daughter	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	어쩌다 가족 OST Special Album (TV조선 일요드라마)	Happy Memories	일반	2025-08-01	주식회사 강공컴퍼니
싱글	RB4 (알비포)	어쩌다 가족 OST Part.14 (TV조선 일요드라마)	난 널, 넌 날	일반	2025-08-01	주식회사 강공컴퍼니
싱글	RB4 (알비포)	어쩌다 가족 OST Part.14 (TV조선 일요드라마)	난 널, 넌 날 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	홍시	어쩌다 가족 OST Part.13 (TV조선 일요드라마)	이렇게 살다가	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	홍시	어쩌다 가족 OST Part.13 (TV조선 일요드라마)	이렇게 살다가 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
싱글	VAV	어쩌다 가족 OST Part.12 (TV조선 일요드라마)	이 밤	일반	2025-08-01	주식회사 강공컴퍼니
싱글	VAV	어쩌다 가족 OST Part.12 (TV조선 일요드라마)	이 밤 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	3YE (써드아이)	어쩌다 가족 OST Part.11 (TV조선 일요드라마)	너만 몰라	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	3YE (써드아이)	어쩌다 가족 OST Part.11 (TV조선 일요드라마)	너만 몰라 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
싱글	류지광	어쩌다 가족 OST Part.10 (TV조선 일요드라마)	말해야 할까	일반	2025-08-01	주식회사 강공컴퍼니
싱글	류지광	어쩌다 가족 OST Part.10 (TV조선 일요드라마)	말해야 할까 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	AleXa (알렉사)	어쩌다 가족 OST Part.9 (TV조선 일요드라마)	어제도 오늘도 너무 보고싶어	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	AleXa (알렉사)	어쩌다 가족 OST Part.9 (TV조선 일요드라마)	어제도 오늘도 너무 보고싶어 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	신인선	어쩌다 가족 OST Part.8 (TV조선 일요드라마)	From Heart	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	신인선	어쩌다 가족 OST Part.8 (TV조선 일요드라마)	From Heart (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	신인선	어쩌다 가족 OST Part.8 (TV조선 일요드라마)	From Heart (Acoustic Ver.)	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	신인선	어쩌다 가족 OST Part.8 (TV조선 일요드라마)	From Heart (Acoustic Ver.) (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
싱글	요요미	어쩌다 가족 OST Part.7 (TV조선 일요드라마)	사는게 다	일반	2025-08-01	주식회사 강공컴퍼니
싱글	요요미	어쩌다 가족 OST Part.7 (TV조선 일요드라마)	사는게 다 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
싱글	KOYO (코요)	어쩌다 가족 OST Part.6 (TV조선 일요드라마)	I Miss You	일반	2025-08-01	주식회사 강공컴퍼니
싱글	KOYO (코요)	어쩌다 가족 OST Part.6 (TV조선 일요드라마)	I Miss You (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
싱글	N.CUS (엔쿠스)	빛나는 별	빛나는 별	일반	2025-08-01	주식회사 강공컴퍼니
싱글	N.CUS (엔쿠스)	빛나는 별	빛나는 별 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	프레셔스 (은비 & 지효 & 이수)	찬란한 내 인생 OST Part.9 (MBC 일일드라마)	I need you	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	프레셔스 (은비 & 지효 & 이수)	찬란한 내 인생 OST Part.9 (MBC 일일드라마)	I need you (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	윤여규	찬란한 내 인생 OST Part.8 (MBC 일일드라마)	내 안엔 그대가 살아	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	윤여규	찬란한 내 인생 OST Part.8 (MBC 일일드라마)	내 안엔 그대가 살아 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	이준용 & 양시하 (느와르)	찬란한 내 인생 OST Part.7 (MBC 일일드라마)	널 놓지 않을게	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	이준용 & 양시하 (느와르)	찬란한 내 인생 OST Part.7 (MBC 일일드라마)	널 놓지 않을게 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
싱글	환희	널 사랑했던 계절	널 사랑했던 계절	선급	2025-08-01	(주)비티엔터테인먼트
싱글	환희	널 사랑했던 계절	널 사랑했던 계절 (Inst.)	선급	2025-08-01	(주)비티엔터테인먼트
그 외 기타	이보람	찬란한 내 인생 OST Part.6 (MBC 일일드라마)	너의 집	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	이보람	찬란한 내 인생 OST Part.6 (MBC 일일드라마)	너의 집 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
