날짜	년도	곡수	순위	곡 코드	음원명	아티스트명	앨범명	발매일	발매년도	장르_세부	장르	유통사명	기획사명
2022-12-18	2022년	1	118	93335952	헤픈 우연	헤이즈 (Heize)	HAPPEN	2021-05-20	이전발매	R&B/소울	가요	STONE MUSIC ENTERTAINMENT(유통대행)	피네이션
2022-12-18	2022년	1	119	89320910	흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야	장범준	멜로가 체질 OST Part 3 (JTBC 금토 드라마)	2019-08-23	이전발매	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment, 삼화네트웍스
2022-12-18	2022년	1	120	90544866	At My Worst	Pink Sweat$	The Prelude	2020-07-17	이전발매	R&B/소울	POP	워너뮤직코리아(주)(해외)	Atlantic Records
2022-12-18	2022년	1	121	89671512	너의 번호를 누르고 (Prod. by 영화처럼)	#안녕	너의 번호를 누르고	2019-11-30	이전발매	인디	가요	(주)비타민엔터테인먼트(국내)	니즈먼트
2022-12-18	2022년	1	122	94652586	GHOST TOWN	Benson Boone	GHOST TOWN	2021-10-15	이전발매	팝	POP	워너뮤직코리아(주)(해외)	Warner Records
2022-12-18	2022년	1	123	93154148	문득	BE'O (비오)	Bipolar	2021-05-02	이전발매	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통대행)	BPM ENTERTAINMENT, FameUs Entertainment
2022-12-18	2022년	1	124	99513994	펄펄 (Feat. 다이나믹 듀오) (Prod. by R.Tee)	허성현 (Huh)	쇼미더머니 11 Episode 3	2022-12-17	2022년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2022-12-18	2022년	1	125	89613039	Blueming	아이유 (IU)	Love poem	2019-11-18	이전발매	발라드	가요	주식회사 카카오엔터테인먼트	카카오엔터테인먼트
2022-12-18	2022년	1	126	96239500	GANADARA (Feat. 아이유)	박재범	GANADARA	2022-03-11	2022년	R&B/소울	가요	주식회사 카카오엔터테인먼트	MORE VISION
2022-12-18	2022년	1	127	90178428	에잇 (Prod. & Feat. SUGA of BTS)	아이유 (IU)	에잇	2020-05-06	이전발매	락	가요	주식회사 카카오엔터테인먼트	EDAM엔터테인먼트
2022-12-18	2022년	1	128	93700014	Weekend	태연 (TAEYEON)	Weekend	2021-07-06	이전발매	댄스	가요	(주)드림어스컴퍼니(국내)	SM ENTERTAINMENT
2022-12-18	2022년	1	129	92797995	Tiny Riot	Sam Ryder	The Sun's Gonna Rise	2021-09-24	이전발매	팝	POP	워너뮤직코리아(주)(해외)	Parlophone UK
2022-12-18	2022년	1	130	81461935	오래된 노래	Standing Egg (스탠딩 에그)	오래된 노래	2012-09-04	이전발매	발라드	가요	주식회사 카카오엔터테인먼트	본(born)
2022-12-18	2022년	1	131	92749701	라일락	아이유 (IU)	IU 5th Album 'LILAC'	2021-03-25	이전발매	댄스	가요	주식회사 카카오엔터테인먼트	EDAM엔터테인먼트
2022-12-18	2022년	1	132	96696810	아버지	임영웅	IM HERO	2022-05-02	2022년	발라드	가요	(주)드림어스컴퍼니(국내)	물고기뮤직
2022-12-18	2022년	1	133	16151403	희재	성시경	국화꽃 향기 OST	2003-02-12	이전발매	전체	OST	(주)씨에스해피엔터테인먼트	씨에스해피엔터테인먼트
2022-12-18	2022년	1	134	88344888	12 : 45 (Stripped)	etham	12 : 45 (Stripped)	2018-10-26	이전발매	팝	POP	(주)유니버설뮤직(해외)	Closer Recordings Limited
2022-12-18	2022년	1	135	93340450	Every Second	Mina Okabe	Every Second	2021-05-21	이전발매	팝	POP	(주)유니버설뮤직(해외)	Universal Music (Denmark) A/S
