날짜	년도	순위	곡수	곡 코드	음원명	아티스트명	앨범명	발매일	발매년도	장르_세부	장르	유통사명	기획사명
2021-01-01	2021년	1	1	91829432	우린 어쩌다 헤어진 걸까	허각	Hello	2020-12-28	2020년	발라드	가요	주식회사 카카오엠	㈜플레이엠엔터테인먼트
2021-01-01	2021년	2	1	91854697	나로 바꾸자 (Duet With JYP)	비	나로 바꾸자	2020-12-31	2020년	댄스	가요	주식회사 카카오엠	써브라임 아티스트 에이전시, (주)JYP엔터테인먼트
2021-01-01	2021년	3	1	91423133	VVS (Feat. JUSTHIS) (Prod. by GroovyRoom)	미란이 (MIRANI) & 먼치맨 (MUNCHMAN) & Khundi Panda & 머쉬베놈 (MUSHVENOM)	쇼미더머니 9 Episode 1	2020-11-21	2020년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-01-01	2021년	4	1	91840671	요즘	양다일	요즘	2020-12-29	2020년	발라드	가요	주식회사 카카오엠	브랜뉴뮤직 (Brand New Music)
2021-01-01	2021년	5	1	90705547	Dynamite	방탄소년단	Dynamite (DayTime Ver.)	2020-08-21	2020년	댄스	가요	(주)드림어스컴퍼니(국내)	빅히트엔터테인먼트
2021-01-01	2021년	6	1	91361957	밤하늘의 별을 (2020)	경서	밤하늘의 별을 (2020)	2020-11-14	2020년	인디	가요	주식회사 카카오엠	꿈의 엔진
2021-01-01	2021년	7	1	91666269	What Do I Call You	태연 (TAEYEON)	What Do I Call You - The 4th Mini Album	2020-12-15	2020년	R&B/소울	가요	(주)드림어스컴퍼니(국내)	SM ENTERTAINMENT
2021-01-01	2021년	8	1	91134598	잠이 오질 않네요	장범준	잠이 오질 않네요	2020-10-24	2020년	발라드	가요	주식회사 카카오엠	㈜버스커버스커
2021-01-01	2021년	9	1	91613328	For You (Feat. Crush)	이하이	For You	2020-12-16	2020년	R&B/소울	가요	STONE MUSIC ENTERTAINMENT(유통대행)	AOMG
2021-01-01	2021년	10	1	91716684	ON AIR (Feat. 로꼬 & 박재범 & GRAY)	릴보이 (lIlBOI)	쇼미더머니 9 Final	2020-12-19	2020년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-01-01	2021년	11	1	91423137	Life Goes On	방탄소년단	BE	2020-11-20	2020년	랩/힙합	가요	(주)드림어스컴퍼니(국내)	빅히트엔터테인먼트
2021-01-01	2021년	12	1	91563412	내일이 오면 (Feat. 기리보이 & BIG Naughty (서동현))	릴보이 (lIlBOI)	쇼미더머니 9 Episode 3	2020-12-05	2020년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-01-01	2021년	13	1	91716688	CREDIT (Feat. 염따 & 기리보이 & Zion.T)	릴보이 (lIlBOI)	쇼미더머니 9 Final	2020-12-19	2020년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-01-01	2021년	14	1	91664636	한잔이면 지워질까	황인욱	한잔이면 지워질까	2020-12-15	2020년	발라드	가요	주식회사 벅스(BUGS Corporation)	하우엔터테인먼트
2021-01-01	2021년	15	1	91750851	서로를 위한 것	나얼	서로를 위한 것	2020-12-21	2020년	발라드	가요	주식회사 카카오엠	인넥스트트렌드, 롱플레이뮤직
2021-01-01	2021년	16	1	90947953	Lovesick Girls	BLACKPINK	THE ALBUM	2020-10-02	2020년	댄스	가요	(주)와이지플러스	(주)YG엔터테인먼트
2021-01-01	2021년	17	1	91091923	힘든 건 사랑이 아니다	임창정	힘든 건 사랑이 아니다	2020-10-19	2020년	발라드	가요	(주)인터파크	㈜예스아이엠엔터테인먼트
2021-01-01	2021년	18	1	90960439	Savage Love (Laxed - Siren Beat) (BTS Remix)	Jawsh 685 & Jason Derulo & 방탄소년단	Savage Love (Laxed - Siren Beat) (BTS Remix)	2020-10-02	2020년	팝	POP	소니뮤직엔터테인먼트코리아(주)(해외)	Columbia
2021-01-01	2021년	19	1	90545014	취기를 빌려 (취향저격 그녀 X 산들)	산들	취기를 빌려 (취향저격 그녀 X 산들)	2020-07-20	2020년	인디	가요	주식회사 카카오엠	TOON STUDIO
2021-01-01	2021년	20	1	91768515	입김	10CM	5.1	2020-12-23	2020년	인디	가요	주식회사 카카오엠	매직스트로베리사운드
2021-01-01	2021년	21	1	91625443	악역 (Feat. 이하이 & 사이먼 도미닉) (Prod. by 코드 쿤스트)	스윙스 (Swings)	쇼미더머니 9 Semi Final	2020-12-12	2020년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-01-01	2021년	22	1	91466463	혼술하고 싶은 밤	벤	혼술하고 싶은 밤	2020-12-02	2020년	발라드	가요	(주)지니뮤직(펀드)	메이저나인
2021-01-01	2021년	23	1	91563409	Achoo (Feat. pH-1 & HAON) (Prod. by GroovyRoom)	미란이 (MIRANI)	쇼미더머니 9 Episode 3	2020-12-05	2020년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-01-01	2021년	24	1	81461935	오래된 노래	Standing Egg (스탠딩 에그)	오래된 노래	2012-09-04	2012년	발라드	가요	주식회사 카카오엠	본(born)
2021-01-01	2021년	25	1	90178428	에잇 (Prod. & Feat. SUGA of BTS)	아이유 (IU)	에잇	2020-05-06	2020년	락	가요	주식회사 카카오엠	EDAM엔터테인먼트
2021-01-01	2021년	26	1	89320910	흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야	장범준	멜로가 체질 OST Part 3 (JTBC 금토 드라마)	2019-08-23	2019년	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment, 삼화네트웍스
2021-01-01	2021년	27	1	91620457	잘할게	이승기	The Project	2020-12-10	2020년	발라드	가요	주식회사 카카오엠	(주)후크엔터테인먼트
2021-01-01	2021년	28	1	91563411	뿌리 (Feat. JUSTHIS) (Prod. by GroovyRoom)	Khundi Panda	쇼미더머니 9 Episode 3	2020-12-05	2020년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-01-01	2021년	29	1	90077755	이제 나만 믿어요	임영웅	내일은 미스터트롯 우승자 특전곡	2020-04-03	2020년	트로트	가요	주식회사 카카오엠	TV CHOSUN
2021-01-01	2021년	30	1	91423134	Freak (Prod. by Slom)	릴보이 (lIlBOI) & 원슈타인 & Chillin Homie & 스카이민혁 (Skyminhyuk)	쇼미더머니 9 Episode 1	2020-11-21	2020년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-01-01	2021년	31	1	89613039	Blueming	아이유 (IU)	Love poem	2019-11-18	2019년	발라드	가요	주식회사 카카오엠	카카오엔터테인먼트
2021-01-01	2021년	32	1	90709438	내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)	규현 (KYUHYUN)	내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)	2020-08-23	2020년	발라드	가요	주식회사 카카오엠	TOON STUDIO, 느을
2021-01-01	2021년	33	1	91622433	Hate you	백예린 (Yerin Baek)	tellusboutyourself	2020-12-10	2020년	R&B/소울	가요	(주)드림어스컴퍼니(국내)	블루바이닐
2021-01-01	2021년	34	1	87840106	모든 날, 모든 순간 (Every day, Every Moment)	폴킴	'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마)	2018-03-20	2018년	드라마	OST	(주)드림어스컴퍼니(국내)	SM ENTERTAINMENT
2021-01-01	2021년	35	1	90661587	When We Disco (Duet With 선미)	박진영	When We Disco	2020-08-12	2020년	댄스	가요	(주)드림어스컴퍼니(국내)	(주)JYP엔터테인먼트
2021-01-01	2021년	36	1	91625438	고독하구만 (Feat. 수퍼비) (Prod. by GroovyRoom)	머쉬베놈 (MUSHVENOM)	쇼미더머니 9 Semi Final	2020-12-12	2020년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-01-01	2021년	37	1	91096604	딩가딩가 (Dingga)	마마무(Mamamoo)	딩가딩가 (Dingga)	2020-10-20	2020년	댄스	가요	주식회사 카카오엠	(주)RBW
2021-01-01	2021년	38	1	89815269	시작	가호 (Gaho)	이태원 클라쓰 OST Part.2 (JTBC 금토드라마)	2020-02-01	2020년	드라마	OST	주식회사 블렌딩(신)	㈜블렌딩
2021-01-01	2021년	39	1	82975165	Santa Tell Me	Ariana Grande	Santa Tell Me	2014-11-25	2014년	캐롤	그외장르	(주)유니버설뮤직(해외)	
2021-01-01	2021년	40	1	90021550	아로하	조정석	슬기로운 의사생활 OST Part 3 (tvN 목요드라마)	2020-03-27	2020년	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
2021-01-01	2021년	41	1	89671512	너의 번호를 누르고 (Prod. by 영화처럼)	#안녕	너의 번호를 누르고	2019-11-30	2019년	인디	가요	(주)비타민엔터테인먼트(국내)	니즈먼트
2021-01-01	2021년	42	1	91290290	가을밤에 든 생각	잔나비	잔나비 소곡집 l	2020-11-06	2020년	인디	가요	주식회사 카카오엠	페포니 뮤직
2021-01-01	2021년	43	1	87538989	Snowman	Sia	Everyday Is Christmas (Snowman Deluxe Edition)	2022-12-30	2022년	팝	POP	워너뮤직코리아(주)(해외)	Monkey Puzzle, Atlantic
2021-01-01	2021년	44	1	91716681	가다 (Feat. 사이먼 도미닉 & The Quiett) (Prod. by SLO)	머쉬베놈 (MUSHVENOM)	쇼미더머니 9 Final	2020-12-19	2020년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-01-01	2021년	45	1	90928056	밤하늘의 저 별처럼	헤이즈 (Heize) & 펀치 (Punch)	밤하늘의 저 별처럼 (브람스를 좋아하세요? OST 스페셜 트랙) (SBS 월화드라마)	2020-09-27	2020년	드라마	OST	주식회사 카카오엠	냠냠엔터테인먼트
2021-01-01	2021년	46	1	88773173	작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)	방탄소년단	MAP OF THE SOUL : PERSONA	2019-04-12	2019년	랩/힙합	가요	(주)드림어스컴퍼니(국내)	빅히트엔터테인먼트
2021-01-01	2021년	47	1	89671631	METEOR	창모 (CHANGMO)	Boyhood	2019-11-29	2019년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통대행)	Ambition Musik
2021-01-01	2021년	48	1	90914605	Bad Boy	청하 & Christopher	Bad Boy	2020-09-23	2020년	댄스	가요	워너뮤직코리아(주)(해외)	Parlophone Denmark
2021-01-01	2021년	49	1	89617967	이루리	우주소녀	As You Wish	2019-11-19	2019년	댄스	가요	주식회사 카카오엠	스타쉽 엔터테인먼트
2021-01-01	2021년	50	1	91529103	Panorama	IZ*ONE (아이즈원)	One-reeler / Act IV	2020-12-07	2020년	댄스	가요	STONE MUSIC ENTERTAINMENT(유통대행)	오프더레코드엔터테인먼트, 스윙엔터테인먼트
2021-01-01	2021년	51	1	91551008	그날에 나는 맘이 편했을까	이예준	그날에 나는 맘이 편했을까	2020-12-03	2020년	발라드	가요	주식회사 카카오엠	뮤니콘, 아이디어뮤직엔터테인먼트 코리아 (iMe KOREA)
2021-01-01	2021년	52	1	89558702	늦은 밤 너의 집 앞 골목길에서	노을	늦은 밤 너의 집 앞 골목길에서	2019-11-07	2019년	발라드	가요	주식회사 카카오엠	씨제스 엔터테인먼트 (C-JeS Entertainment)
2021-01-01	2021년	53	1	87928158	2002	Anne-Marie	Speak Your Mind (Deluxe)	2018-04-27	2018년	팝	POP	워너뮤직코리아(주)(해외)	Atlantic Records UK
2021-01-01	2021년	54	1	91361842	뻔한남자	이승기	뻔한남자	2020-11-15	2020년	발라드	가요	주식회사 카카오엠	(주)후크엔터테인먼트
2021-01-01	2021년	55	1	90155965	Dolphin	오마이걸 (OH MY GIRL)	NONSTOP	2020-04-27	2020년	댄스	가요	소니뮤직엔터테인먼트코리아(주)(국내)	WM Entertainment
2021-01-01	2021년	56	1	89382909	어떻게 이별까지 사랑하겠어, 널 사랑하는 거지	AKMU (악뮤)	항해	2019-09-25	2019년	락	가요	(주)와이지플러스	(주)YG엔터테인먼트
2021-01-01	2021년	57	1	89058209	오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)	마크툽 (Maktub)	Red Moon : To You My Light	2019-06-09	2019년	인디	가요	(주)비타민엔터테인먼트(국내)	(주)MAKTUB Company
2021-01-01	2021년	58	1	89859975	마음을 드려요	아이유 (IU)	사랑의 불시착 OST Part 11 (tvN 토일 드라마)	2020-02-15	2020년	드라마	OST	주식회사 카카오엠	EDAM엔터테인먼트
2021-01-01	2021년	59	1	91716685	여백의 미 (Feat. Jessi & JUSTHIS) (Prod. by GroovyRoom)	머쉬베놈 (MUSHVENOM)	쇼미더머니 9 Final	2020-12-19	2020년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-01-01	2021년	60	1	91165220	I CAN'T STOP ME	TWICE (트와이스)	Eyes wide open	2020-10-26	2020년	댄스	가요	(주)드림어스컴퍼니(국내)	(주)JYP엔터테인먼트
2021-01-01	2021년	61	1	90998269	DON'T TOUCH ME	환불원정대	DON'T TOUCH ME	2020-10-10	2020년	댄스	가요	주식회사 벅스(BUGS Corporation)	신박기획
2021-01-01	2021년	62	1	90677250	오래된 노래	임영웅	사랑의 콜센타 Part19	2020-08-14	2020년	트로트	가요	주식회사 카카오엠	TV CHOSUN, ㈜쇼플레이
2021-01-01	2021년	63	1	90443299	How You Like That	BLACKPINK	How You Like That	2020-06-26	2020년	랩/힙합	가요	(주)와이지플러스	(주)YG엔터테인먼트
2021-01-01	2021년	64	1	89943155	어떻게 지내 (Prod. by VAN.C)	오반	어떻게 지내	2020-03-05	2020년	인디	가요	주식회사 카카오엠	로맨틱팩토리
2021-01-01	2021년	65	1	89374289	Memories	Maroon 5	Memories	2019-09-20	2019년	팝	POP	(주)유니버설뮤직(해외)	Interscope Records (222 Records)
2021-01-01	2021년	66	1	91123274	나랑 같이 걸을래 (바른연애 길잡이 X 적재)	적재	나랑 같이 걸을래 (바른연애 길잡이 X 적재)	2020-10-23	2020년	인디	가요	주식회사 카카오엠	TOON STUDIO, 느을
2021-01-01	2021년	67	1	90451189	마리아 (Maria)	화사 (Hwa Sa)	María	2020-06-29	2020년	댄스	가요	주식회사 카카오엠	(주)RBW
2021-01-01	2021년	68	1	80897960	미리 메리 크리스마스 (Feat. 천둥 of MBLAQ)	아이유 (IU)	REAL	2010-12-09	2010년	전체	가요	주식회사 카카오엠	카카오엔터테인먼트
2021-01-01	2021년	69	1	91167642	너도 아는	폴킴	너도 아는	2020-10-27	2020년	발라드	가요	주식회사 카카오엠	뉴런뮤직
2021-01-01	2021년	70	1	82146674	All I Want for Christmas Is You	Mariah Carey	Merry Christmas (Deluxe Anniversary Edition)	2019-11-01	2019년	캐롤	그외장르	소니뮤직엔터테인먼트코리아(주)(해외)	Columbia/Legacy
2021-01-01	2021년	71	1	90106691	사실 나는 (Feat. 전건호)	경서예지	사실 나는	2020-04-12	2020년	인디	가요	주식회사 카카오엠	먼데이키즈 컴퍼니, 에버그로우
2021-01-01	2021년	72	1	89290354	Dance Monkey	Tones And I	The Kids Are Coming	2019-08-29	2019년	락	POP	워너뮤직코리아(주)(해외)	Elektra (NEK)
2021-01-01	2021년	73	1	89296790	안녕	폴킴	호텔 델루나 OST Part.10 (tvN 토일드라마)	2019-08-12	2019년	드라마	OST	주식회사 카카오엠	냠냠엔터테인먼트
2021-01-01	2021년	74	1	90602627	눈누난나 (NUNU NANA)	제시 (Jessi)	NUNA	2020-07-30	2020년	랩/힙합	가요	주식회사 카카오엠	피네이션
2021-01-01	2021년	75	1	90155964	살짝 설렜어 (Nonstop)	오마이걸 (OH MY GIRL)	NONSTOP	2020-04-27	2020년	댄스	가요	소니뮤직엔터테인먼트코리아(주)(국내)	WM Entertainment
2021-01-01	2021년	76	1	86941521	봄날	방탄소년단	YOU NEVER WALK ALONE	2017-02-13	2017년	댄스	가요	(주)드림어스컴퍼니(국내)	빅히트엔터테인먼트
2021-01-01	2021년	77	1	89520901	Don't Start Now	Dua Lipa	Future Nostalgia	2020-03-27	2020년	팝	POP	워너뮤직코리아(주)(해외)	Warner Records
2021-01-01	2021년	78	1	87594329	Downtown Baby	블루 (BLOO)	Downtown Baby	2017-12-06	2017년	랩/힙합	가요	(주)비타민엔터테인먼트(국내)	UNCUTPOINT
2021-01-01	2021년	79	1	90551435	홀로	이하이	홀로	2020-07-23	2020년	R&B/소울	가요	STONE MUSIC ENTERTAINMENT(유통대행)	AOMG
2021-01-01	2021년	80	1	88686378	주저하는 연인들을 위해	잔나비	전설	2019-03-13	2019년	인디	가요	주식회사 카카오엠	페포니 뮤직
2021-01-01	2021년	81	1	90146199	서면역에서	순순희	서면역에서	2020-05-05	2020년	발라드	가요	(주)지니뮤직	비에스(BS) Ent.
2021-01-01	2021년	82	1	91775310	사랑이었나봐	기리보이	9컷	2020-12-23	2020년	랩/힙합	가요	주식회사 카카오엠	린치핀뮤직㈜
2021-01-01	2021년	83	1	89776757	아무노래	지코 (ZICO)	아무노래	2020-01-13	2020년	랩/힙합	가요	주식회사 카카오엠	KOZ 엔터테인먼트
2021-01-01	2021년	84	1	88344888	12 : 45 (Stripped)	etham	12 : 45 (Stripped)	2018-10-26	2018년	팝	POP	(주)유니버설뮤직(해외)	Closer Recordings Limited
2021-01-01	2021년	85	1	88336380	너를 만나	폴킴	너를 만나	2018-10-29	2018년	발라드	가요	주식회사 카카오엠	뉴런뮤직
2021-01-01	2021년	86	1	88707240	노래방에서	장범준	장범준 3집	2019-03-21	2019년	락	가요	주식회사 카카오엠	㈜버스커버스커
2021-01-01	2021년	87	1	90250302	사랑하게 될 줄 알았어	전미도	슬기로운 의사생활 OST Part 11 (tvN 목요드라마)	2020-05-22	2020년	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
2021-01-01	2021년	88	1	91593370	어김없이 이 거리에	정승환	어김없이 이 거리에	2020-12-08	2020년	발라드	가요	주식회사 카카오엠	안테나
2021-01-01	2021년	89	1	86868102	첫눈처럼 너에게 가겠다	에일리 (Ailee)	도깨비 OST Part 9 (tvN 금토드라마)	2017-01-07	2017년	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment, 화앤담픽쳐스
2021-01-01	2021년	90	1	89623205	우리 왜 헤어져야 해	신예영	우리 왜 헤어져야 해	2019-11-20	2019년	발라드	가요	주식회사 카카오엠	㈜ 스튜디오 오드리
2021-01-01	2021년	91	1	91839600	밝게 빛나는 별이 되어 비춰줄게	송이한	밝게 빛나는 별이 되어 비춰줄게	2020-12-29	2020년	인디	가요	주식회사 카카오엠	㈜뮤직디자인
2021-01-01	2021년	92	1	91563414	적외선 카메라	원슈타인	쇼미더머니 9 Episode 3	2020-12-05	2020년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-01-01	2021년	93	1	87034188	밤편지	아이유 (IU)	밤편지	2017-03-24	2017년	발라드	가요	주식회사 카카오엠	카카오엔터테인먼트, ㈜페이브엔터테인먼트
2021-01-01	2021년	94	1	89894708	어느 60대 노부부이야기	임영웅	내일은 미스터트롯 트롯 에이드 베스트	2020-02-21	2020년	트로트	가요	주식회사 카카오엠	TV CHOSUN, ㈜쇼플레이
2021-01-01	2021년	95	1	91865707	Anyone	Justin Bieber	Anyone	2020-12-31	2020년	팝	POP	(주)유니버설뮤직(해외)	Def Jam Recordings, a division of UMG Recordings, Inc
2021-01-01	2021년	96	1	90520051	거짓말이라도 해서 널 보고싶어	백지영	거짓말이라도 해서 널 보고싶어	2020-07-14	2020년	발라드	가요	주식회사 카카오엠	트라이어스
2021-01-01	2021년	97	1	89530447	Love poem	아이유 (IU)	Love poem	2019-11-18	2019년	발라드	가요	주식회사 카카오엠	카카오엔터테인먼트
2021-01-01	2021년	98	1	91423138	내 방을 여행하는 법	방탄소년단	BE	2020-11-20	2020년	랩/힙합	가요	(주)드림어스컴퍼니(국내)	빅히트엔터테인먼트
2021-01-01	2021년	99	1	91264455	HERO	임영웅	HERO	2020-11-04	2020년	트로트	가요	주식회사 카카오엠	티조컬처앤컨텐츠, 뉴에라프로젝트
2021-01-01	2021년	100	1	91423131	원해 (Feat. 팔로알토) (Prod. by 코드 쿤스트)	스윙스 (Swings) & 맥대디 (Mckdaddy) & Khakii (카키) & 래원 (Layone)	쇼미더머니 9 Episode 1	2020-11-21	2020년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-01-01	2021년	101	1	91091925	소확행	임창정	힘든 건 사랑이 아니다	2020-10-19	2020년	발라드	가요	(주)인터파크	㈜예스아이엠엔터테인먼트
2021-01-01	2021년	102	1	90031687	처음처럼	엠씨더맥스 (M.C the MAX)	CEREMONIA	2020-03-25	2020년	발라드	가요	주식회사 카카오엠	325 이엔씨
2021-01-01	2021년	103	1	89612348	사랑은 (Feat. 원슈타인)	마미손	나의슬픔 (My Sadness)	2019-11-18	2019년	랩/힙합	가요	주식회사 카카오엠	뷰티플노이즈
2021-01-01	2021년	104	1	88281290	Paris in the Rain	Lauv	I met you when I was 18. (the playlist)	2018-05-31	2018년	팝	POP	주식회사 벅스(BUGS Corporation)	뮤직테이블
2021-01-01	2021년	105	1	91563413	부어라 비워라 (Tricker) (Prod. by GroovyRoom)	머쉬베놈 (MUSHVENOM)	쇼미더머니 9 Episode 3	2020-12-05	2020년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-01-01	2021년	106	1	91260914	AYA	마마무(Mamamoo)	TRAVEL	2020-11-03	2020년	댄스	가요	주식회사 카카오엠	(주)RBW
2021-01-01	2021년	107	1	91096860	사랑 못해, 남들 쉽게 다 하는 거	먼데이 키즈 (Monday Kiz)	사랑 못해, 남들 쉽게 다 하는 거	2020-10-21	2020년	발라드	가요	주식회사 카카오엠	먼데이키즈 컴퍼니
2021-01-01	2021년	108	1	88261335	사랑에 연습이 있었다면 (Prod. by 2soo)	임재현	사랑에 연습이 있었다면	2018-09-25	2018년	발라드	가요	주식회사 카카오엠	엔에스씨컴퍼니, 디원미디어
2021-01-01	2021년	109	1	88727092	bad guy	Billie Eilish	WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?	2019-03-29	2019년	락	POP	(주)유니버설뮤직(해외)	Darkroom, Interscope Records
2021-01-01	2021년	110	1	90536476	다시 여기 바닷가	싹쓰리 (유두래곤 & 린다G & 비룡)	다시 여기 바닷가	2020-07-18	2020년	댄스	가요	주식회사 카카오엠	MBC (문화방송)
2021-01-01	2021년	111	1	89883242	ON	방탄소년단	MAP OF THE SOUL : 7	2020-02-21	2020년	랩/힙합	가요	(주)드림어스컴퍼니(국내)	빅히트엔터테인먼트
2021-01-01	2021년	112	1	88987356	사랑이 식었다고 말해도 돼	먼데이 키즈 (Monday Kiz)	사랑이 식었다고 말해도 돼	2019-05-27	2019년	발라드	가요	주식회사 카카오엠	먼데이키즈 컴퍼니
2021-01-01	2021년	113	1	89492238	Maniac	Conan Gray	Maniac	2019-10-25	2019년	팝	POP	(주)유니버설뮤직(해외)	Republic Records a division of UMG Recordings Inc
2021-01-01	2021년	114	1	89275179	기억해줘요 내 모든 날과 그때를	거미 (Gummy)	호텔 델루나 OST Part.7 (tvN 토일드라마)	2019-08-04	2019년	드라마	OST	주식회사 카카오엠	냠냠엔터테인먼트
2021-01-01	2021년	115	1	91790325	12월의 어느 겨울…	윤도 (YoonDo)	12월의 어느 겨울…	2020-12-26	2020년	인디	가요	주식회사 카카오엠	꿈의 엔진
2021-01-01	2021년	116	1	89702572	Square (2017)	백예린 (Yerin Baek)	Every letter I sent you.	2019-12-10	2019년	전체	가요	(주)드림어스컴퍼니(국내)	블루바이닐
2021-01-01	2021년	117	1	91423139	Blue & Grey	방탄소년단	BE	2020-11-20	2020년	랩/힙합	가요	(주)드림어스컴퍼니(국내)	빅히트엔터테인먼트
2021-01-01	2021년	118	1	90341734	사랑은 지날수록 더욱 선명하게 남아	전상근	한 걸음 : 흔적	2020-06-07	2020년	발라드	가요	주식회사 카카오엠	주식회사 셀러빗(CELEBIT)
2021-01-01	2021년	119	1	90001474	좋은 사람 있으면 소개시켜줘	조이 (JOY)	슬기로운 의사생활 OST Part 2 (tvN 목요드라마)	2020-03-20	2020년	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
2021-01-01	2021년	120	1	88729142	시든 꽃에 물을 주듯	HYNN (박혜원)	시든 꽃에 물을 주듯	2019-03-31	2019년	발라드	가요	주식회사 카카오엠	㈜엔터테인먼트뉴오더
2021-01-01	2021년	121	1	89119858	포장마차	황인욱	포장마차	2019-06-20	2019년	발라드	가요	주식회사 벅스(BUGS Corporation)	하우엔터테인먼트
2021-01-01	2021년	122	1	88709300	사계 (Four Seasons)	태연 (TAEYEON)	사계 (Four Seasons)	2019-03-24	2019년	발라드	가요	(주)드림어스컴퍼니(국내)	SM ENTERTAINMENT
2021-01-01	2021년	123	1	90788463	만개 (Prod. 신지후)	김호중	우리家	2020-09-05	2020년	트로트	가요	주식회사 카카오엠	생각을보여주는엔터테인먼트
2021-01-01	2021년	124	1	90191450	Stuck With U	Ariana Grande & Justin Bieber	Stuck with U	2020-05-08	2020년	팝	POP	(주)유니버설뮤직(해외)	Silent Records Ventures, LLC, Def Jam Recordings, A Division Of UMG Recordings, Inc., And Republic Records, A Division Of UMG Recordings, Inc.
2021-01-01	2021년	125	1	89238855	그대라는 시	태연 (TAEYEON)	호텔 델루나 OST Part.3 (tvN 토일드라마)	2019-07-21	2019년	드라마	OST	주식회사 카카오엠	냠냠엔터테인먼트
2021-01-01	2021년	126	1	88860334	Painkiller	Ruel	Painkiller	2019-04-30	2019년	팝	POP	소니뮤직엔터테인먼트코리아(주)(해외)	RCA Records Label
2021-01-01	2021년	127	1	88501296	그때가 좋았어	케이시 (Kassy)	그때가 좋았어	2018-12-31	2018년	발라드	가요	주식회사 카카오엠	넥스타엔터테인먼트
2021-01-01	2021년	128	1	91264287	Dancing Cartoon	볼빨간사춘기	Filmlet	2020-11-04	2020년	인디	가요	주식회사 카카오엠	쇼파르뮤직
2021-01-01	2021년	129	1	87506735	All Falls Down (Feat. Juliander)	Alan Walker & Noah Cyrus & Digital Farm Animals	Different World	2018-12-14	2018년	일렉트로니카	POP	소니뮤직엔터테인먼트코리아(주)(해외)	Mer Musikk
2021-01-01	2021년	130	1	89380047	조금 취했어 (Prod. by 2soo)	임재현	조금 취했어	2019-09-24	2019년	인디	가요	주식회사 카카오엠	엔에스씨컴퍼니, 디원미디어
2021-01-01	2021년	131	1	89353654	사랑이란 멜로는 없어	전상근	사랑이란 멜로는 없어	2019-09-08	2019년	발라드	가요	주식회사 카카오엠	㈜ 스튜디오 오드리
2021-01-01	2021년	132	1	91855781	follow the light (Feat. Hoody)	그루비룸 (GroovyRoom)	find your light : follow the light #5	2021-01-01	2021년	일렉트로니카	가요	주식회사 카카오엠	AZING
2021-01-01	2021년	133	1	88323996	Comethru	Jeremy Zucker	Summer,	2018-09-28	2018년	팝	POP	(주)유니버설뮤직(해외)	Republic Records
2021-01-01	2021년	134	1	91396761	Black Mamba	aespa	Black Mamba	2020-11-17	2020년	댄스	가요	(주)드림어스컴퍼니(국내)	SM ENTERTAINMENT
2021-01-01	2021년	135	1	89598605	HIP	마마무(Mamamoo)	reality in BLACK	2019-11-14	2019년	댄스	가요	주식회사 카카오엠	(주)RBW
2021-01-01	2021년	136	1	89787351	바램	임영웅	내일은 미스터트롯 예선곡 베스트	2020-01-17	2020년	트로트	가요	주식회사 카카오엠	TV CHOSUN, ㈜쇼플레이
