년도	월	앨범명	앨범유형	플랫폼 앨범 종류	아티스트명	유형	음반 판매량	유통사
2022년	01월	DIMENSION : ANSWER	피지컬앨범		ENHYPEN	보이그룹	723,478	지니뮤직, Stone Music Entertainment
2022년	01월	2021 Winter SMTOWN : SMCU EXPRESS	피지컬앨범		SMTOWN	프로젝트그룹	347,434	Dreamus
2022년	01월	FIRST IMPACT	피지컬앨범		Kep1er (케플러)	걸그룹	300,099	지니뮤직, Stone Music Entertainment
2022년	01월	Universe - The 3rd Album	피지컬앨범		NCT	보이그룹	152,476	Dreamus
2022년	01월	Midnight Guest	피지컬앨범		프로미스나인 (fromis_9)	걸그룹	134,003	YG PLUS
2022년	01월	DISHARMONY : FIND OUT	피지컬앨범		P1Harmony	보이그룹	101,361	Kakao Entertainment
2022년	01월	B	피지컬앨범		뱀뱀 (BamBam)	남자솔로	100,468	Kakao Entertainment
2022년	01월	LOVE ME LIKE	피지컬앨범		OMEGA X (오메가엑스)	보이그룹	88,151	다날엔터테인먼트
2023년	03월	ME	피지컬앨범		지수 (JISOO)	여자솔로	875,922	YG PLUS
2022년	01월	IN:VITE U	피지컬앨범		펜타곤 (PENTAGON)	보이그룹	76,260	Kakao Entertainment
2022년	01월	Restore	피지컬앨범		진진&라키	남성듀오	70,145	Kakao Entertainment
2022년	01월	6equence	피지컬앨범		문별	남자솔로	69,499	Kakao Entertainment
2022년	01월	ELEVEN	피지컬앨범		IVE (아이브)	걸그룹	60,248	Kakao Entertainment
2023년	08월	ZONE	피지컬앨범		지효 (TWICE)	여자솔로	599,022	Dreamus
2022년	01월	CRAZY IN LOVE	피지컬앨범		ITZY (있지)	걸그룹	58,451	Dreamus
2022년	01월	Chronograph	피지컬앨범		VICTON (빅톤)	보이그룹	58,341	Kakao Entertainment
2022년	01월	Illusion	피지컬앨범		김요한	남자솔로	55,194	Kakao Entertainment
2022년	01월	LOVE.	피지컬앨범		Def.	남자솔로	52,724	Warner Music
2022년	01월	COMPLETE WITH YOU	피지컬앨범		AB6IX (에이비식스)	보이그룹	51,824	Warner Music
2022년	01월	Love Story (4 Season Project 季) - The 4th Mini Album	피지컬앨범		규현 (KYUHYUN)	남자솔로	51,125	Dreamus
2022년	01월	Instinct Part. 2	피지컬앨범		OnlyOneOf (온리원오브)	보이그룹	51,090	지니뮤직, Stone Music Entertainment
2022년	01월	Marvelous - 3rd Mini Album	피지컬앨범		미래소년 (MIRAE)	보이그룹	49,560	Kakao Entertainment
2022년	01월	Novella	피지컬앨범		업텐션 (UP10TION)	보이그룹	40,098	Sony Music
2022년	01월	LOVE YOURSELF 轉 `Tear`	피지컬앨범		방탄소년단	보이그룹	36,546	YG PLUS
2022년	01월	Devil - The 2nd Mini Album	피지컬앨범		최강창민 (MAX)	남자솔로	34,910	Dreamus
2022년	01월	에세이 ep.1	피지컬앨범		장민호	남자솔로	33,184	Kakao Entertainment
2022년	01월	MAP OF THE SOUL : PERSONA	피지컬앨범		방탄소년단	보이그룹	31,687	YG PLUS
2022년	01월	LOVE YOURSELF 承 `Her`	피지컬앨범		방탄소년단	보이그룹	30,175	YG PLUS
2022년	01월	Butter	피지컬앨범		방탄소년단	보이그룹	29,966	YG PLUS
2022년	01월	LOVE YOURSELF 結 `Answer`	피지컬앨범		방탄소년단	보이그룹	29,731	YG PLUS
2022년	01월	혼돈의 장: FIGHT OR ESCAPE	피지컬앨범		투모로우바이투게더	보이그룹	29,497	YG PLUS
2022년	01월	DIMENSION : DILEMMA	피지컬앨범		ENHYPEN	보이그룹	27,726	지니뮤직, Stone Music Entertainment
2024년	04월	YUQ1	피지컬앨범		우기 ((여자)아이들)	여자솔로	593,872	Kakao Entertainment
2022년	01월	3rd Mini Album [Villain]	피지컬앨범		DRIPPIN(드리핀)	보이그룹	24,810	Kakao Entertainment
2022년	01월	슈퍼 그럼요	피지컬앨범		우주소녀 쪼꼬미	걸그룹	23,869	Kakao Entertainment
2022년	01월	minisode1 : Blue Hour	피지컬앨범		투모로우바이투게더	보이그룹	23,831	YG PLUS
2022년	01월	MAP OF THE SOUL : 7	피지컬앨범		방탄소년단	보이그룹	23,411	YG PLUS
2022년	01월	NO LIMIT	피지컬앨범		몬스타엑스	보이그룹	21,648	Kakao Entertainment
2022년	01월	3RD ALBUM `An Ode`	피지컬앨범		세븐틴	보이그룹	20,569	YG PLUS
2024년	12월	rosie	피지컬앨범		로제 (ROSE)	여자솔로	484,339	YG PLUS
2022년	06월	IM NAYEON	피지컬앨범		나연 (TWICE)	여자솔로	473,255	Dreamus
2022년	01월	9th Mini Album `Attacca`	피지컬앨범		세븐틴	보이그룹	18,893	YG PLUS
2022년	01월	BOBBIN	피지컬앨범		블리처스 (BLITZERS)	보이그룹	18,336	NHN벅스
2022년	01월	Planet Nine : VOYAGER	피지컬앨범		원위 (ONEWE)	보이그룹	18,036	Kakao Entertainment
2022년	01월	BORDER : DAY ONE	피지컬앨범		ENHYPEN	보이그룹	17,618	지니뮤직, Stone Music Entertainment
2022년	01월	BORDER : CARNIVAL	피지컬앨범		ENHYPEN	보이그룹	17,413	지니뮤직, Stone Music Entertainment
2022년	01월	맛 (Hot Sauce) - The 1st Album	피지컬앨범		NCT DREAM	보이그룹	14,932	Dreamus
2022년	01월	혼돈의 장: FREEZE	피지컬앨범		투모로우바이투게더	보이그룹	14,767	YG PLUS
2022년	01월	YOU NEVER WALK ALONE	피지컬앨범		방탄소년단	보이그룹	13,681	YG PLUS
2022년	01월	WINGS	피지컬앨범		방탄소년단	보이그룹	13,404	YG PLUS
2022년	01월	Dream Part.01	피지컬앨범		아스트로(ASTRO)	보이그룹	13,000	Kakao Entertainment
2022년	01월	Dream Part.02	피지컬앨범		아스트로(ASTRO)	보이그룹	13,000	Kakao Entertainment
2022년	01월	Hello Future - The 1st Album Repackage	피지컬앨범		NCT DREAM	보이그룹	12,709	Dreamus
2022년	01월	화양연화 Young Forever	피지컬앨범		방탄소년단	보이그룹	12,607	YG PLUS
2022년	01월	꿈의 장: MAGIC	피지컬앨범		투모로우바이투게더	보이그룹	12,544	YG PLUS
2022년	01월	THE ALBUM	피지컬앨범		BLACKPINK	걸그룹	12,350	YG PLUS
2022년	01월	BE	피지컬앨범		방탄소년단	보이그룹	12,320	YG PLUS
2022년	01월	Rise Up	피지컬앨범		아스트로(ASTRO)	보이그룹	12,000	Kakao Entertainment
2022년	01월	화양연화 pt.2	피지컬앨범		방탄소년단	보이그룹	11,750	YG PLUS
2022년	01월	7th Mini Album `헹가래`	피지컬앨범		세븐틴	보이그룹	10,885	YG PLUS
2022년	01월	Formula of Love: O+T=<3 (Result File Ver.)	피지컬앨범		TWICE	걸그룹	10,144	Dreamus
2022년	01월	옷소매 붉은 끝동 OST	피지컬앨범		Various Artists	OST	9,994	Kakao Entertainment
2022년	01월	2 Cool 4 Skool	피지컬앨범		방탄소년단	보이그룹	9,720	YG PLUS
2022년	01월	THE LETTER	피지컬앨범		김재환	남자솔로	9,682	지니뮤직, Stone Music Entertainment
2022년	01월	DARK&WILD	피지컬앨범		방탄소년단	보이그룹	9,600	YG PLUS
2022년	01월	COUNTDOWN - ZERO ver. (Epilogue)	피지컬앨범		SUPER JUNIOR-D&E (동해&은혁)	남성듀오	9,589	Dreamus
2022년	01월	KILL THIS LOVE	피지컬앨범		BLACKPINK	걸그룹	9,482	YG PLUS
2022년	01월	화양연화 pt.1	피지컬앨범		방탄소년단	보이그룹	8,755	YG PLUS
2022년	01월	SQUARE UP	피지컬앨범		BLACKPINK	걸그룹	8,659	YG PLUS
2022년	01월	Skool Luv Affair	피지컬앨범		방탄소년단	보이그룹	8,384	YG PLUS
2022년	01월	O! RUL8 ,2?	피지컬앨범		방탄소년단	보이그룹	8,296	YG PLUS
2022년	01월	꿈의 장: STAR	피지컬앨범		투모로우바이투게더	보이그룹	8,257	YG PLUS
2022년	01월	All Light	피지컬앨범		아스트로(ASTRO)	보이그룹	7,997	Kakao Entertainment
2022년	01월	꿈의 장: ETERNITY	피지컬앨범		투모로우바이투게더	보이그룹	7,932	YG PLUS
2022년	01월	BLUE SET Chapter 1. TRACKS	피지컬앨범		TRENDZ (트렌드지)	보이그룹	7,927	인터파크
2024년	06월	NA	피지컬앨범		나연 (TWICE)	여자솔로	422,740	Dreamus
2022년	01월	NOEASY	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	7,764	Dreamus
2022년	01월	GO生	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	7,428	Dreamus
2022년	01월	IN生	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	6,876	Dreamus
2022년	01월	I am NOT	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	6,483	Dreamus
2022년	01월	Cle : LEVANTER	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	6,216	Dreamus
2022년	01월	Cle 2 : Yellow Wood	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	6,185	Dreamus
2022년	01월	THE CONNECT : DEJAVU	피지컬앨범		몬스타엑스	보이그룹	6,099	Kakao Entertainment
2022년	01월	STEREOTYPE	피지컬앨범		STAYC(스테이씨)	걸그룹	6,062	Kakao Entertainment
2022년	01월	I am YOU	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	6,055	Dreamus
2022년	01월	Midnight Guest (KiT)	플랫폼앨범	KIT 앨범	프로미스나인 (fromis_9)	걸그룹	6,000	YG PLUS
2022년	01월	Autumn story	피지컬앨범		아스트로(ASTRO)	보이그룹	6,000	Kakao Entertainment
2022년	01월	항해 (LP)	피지컬앨범		AKMU (악뮤)	혼성그룹	5,803	YG PLUS
2022년	01월	Return of The Girl	피지컬앨범		EVERGLOW (에버글로우)	걸그룹	5,206	지니뮤직, Stone Music Entertainment
2022년	01월	THE FIRST STEP : TREASURE EFFECT	피지컬앨범		TREASURE (트레저)	보이그룹	5,106	YG PLUS
2022년	01월	6TH MINI ALBUM [Goosebumps]	피지컬앨범		온앤오프 (ONF)	보이그룹	5,070	Sony Music
2022년	01월	Star To A Young Culture	피지컬앨범		STAYC(스테이씨)	걸그룹	5,048	Kakao Entertainment
2022년	01월	Special Album `; [Semicolon]`	피지컬앨범		세븐틴	보이그룹	4,788	YG PLUS
2022년	01월	I am WHO	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	4,708	Dreamus
2024년	09월	abouTZU	피지컬앨범		쯔위 (TWICE)	여자솔로	389,613	Dreamus
2022년	01월	STAYDOM	피지컬앨범		STAYC(스테이씨)	걸그룹	4,358	Kakao Entertainment
2024년	02월	The Winning	피지컬앨범		아이유 (IU)	여자솔로	360,916	Kakao Entertainment
2022년	01월	ZERO: FEVER EPILOGUE	피지컬앨범		ATEEZ (에이티즈)	보이그룹	4,117	지니뮤직, Stone Music Entertainment
2025년	2월	AMORTAGE	피지컬앨범		지수 (JISOO)	여자솔로	266,322	YG PLUS
2022년	10월	28 Reasons - The 1st Mini Album	피지컬앨범		슬기 (SEULGI)	여자솔로	206,616	Dreamus
2022년	02월	THE SECOND STEP : CHAPTER ONE	피지컬앨범		TREASURE (트레저)	보이그룹	617,748	YG PLUS
2022년	02월	YOUNG-LUV.COM	피지컬앨범		STAYC(스테이씨)	걸그룹	212,211	Kakao Entertainment
2022년	02월	AD MARE	피지컬앨범		NMIXX	걸그룹	161,312	Dreamus
2023년	04월	ME	피지컬앨범		지수 (JISOO)	여자솔로	193,603	YG PLUS
2022년	02월	Be Together	피지컬앨범		비투비 (BTOB)	보이그룹	113,485	Kakao Entertainment
2022년	02월	Obsession	피지컬앨범		원호 (WONHO)	남자솔로	67,141	Kakao Entertainment
2022년	02월	The Road : Winter for Spring	피지컬앨범		슈퍼주니어 (Super Junior)	보이그룹	51,716	Dreamus
2022년	02월	The 1st Mini Album `Beam Of Prism`	피지컬앨범		VIVIZ (비비지)	걸그룹	50,000	Kakao Entertainment
2022년	02월	HORN	피지컬앨범		에이핑크 (Apink)	걸그룹	49,598	Kakao Entertainment
2022년	02월	Pilmography	피지컬앨범		원필 (DAY6)	남자솔로	47,045	Dreamus
2022년	02월	LOVE YOURSELF 轉 `Tear`	피지컬앨범		방탄소년단	보이그룹	46,670	YG PLUS
2022년	02월	FIRST IMPACT	피지컬앨범		Kep1er (케플러)	걸그룹	44,954	지니뮤직, Stone Music Entertainment
2022년	02월	Universe - The 3rd Album	피지컬앨범		NCT	보이그룹	44,074	Dreamus
2025년	1월	HER	피지컬앨범		민니 ((여자)아이들)	여자솔로	160,000	Kakao Entertainment
2022년	02월	그 해 우리는 OST	피지컬앨범		Various Artists	OST	39,000	NHN벅스
2022년	02월	혼돈의 장: FIGHT OR ESCAPE	피지컬앨범		투모로우바이투게더	보이그룹	38,400	YG PLUS
2022년	02월	LOVE YOURSELF 承 `Her`	피지컬앨범		방탄소년단	보이그룹	37,283	YG PLUS
2022년	02월	LOVE YOURSELF 結 `Answer`	피지컬앨범		방탄소년단	보이그룹	32,196	YG PLUS
2022년	02월	MAP OF THE SOUL : PERSONA	피지컬앨범		방탄소년단	보이그룹	30,995	YG PLUS
2022년	02월	the collective soul and unconscious: chapter one	피지컬앨범		Billlie	걸그룹	29,966	Kakao Entertainment
2022년	02월	Formula of Love: O+T=<3	피지컬앨범		TWICE	걸그룹	29,781	Dreamus
2022년	02월	DIMENSION : DILEMMA	피지컬앨범		ENHYPEN	보이그룹	29,100	지니뮤직, Stone Music Entertainment
2022년	02월	minisode1 : Blue Hour	피지컬앨범		투모로우바이투게더	보이그룹	29,006	YG PLUS
2022년	02월	The Road of Classics	피지컬앨범		길병민	남자솔로	25,674	Warner Music
2022년	02월	Butter	피지컬앨범		방탄소년단	보이그룹	25,341	YG PLUS
2024년	11월	Like A Flower - The 1st Mini Album	피지컬앨범		아이린 (IRENE)	여자솔로	159,165	Kakao Entertainment
2022년	02월	MAP OF THE SOUL : 7	피지컬앨범		방탄소년단	보이그룹	23,224	YG PLUS
2022년	02월	IN:VITE U	피지컬앨범		펜타곤 (PENTAGON)	보이그룹	23,139	Kakao Entertainment
2022년	02월	BORDER : DAY ONE	피지컬앨범		ENHYPEN	보이그룹	22,709	지니뮤직, Stone Music Entertainment
2022년	02월	NOEASY	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	22,302	Dreamus
2022년	02월	THE SECOND STEP : CHAPTER ONE (KiT)	플랫폼앨범	KIT 앨범	TREASURE (트레저)	보이그룹	21,858	YG PLUS
2022년	02월	3RD ALBUM `An Ode`	피지컬앨범		세븐틴	보이그룹	21,761	YG PLUS
2022년	02월	YOU	피지컬앨범		하성운	남자솔로	20,042	지니뮤직, Stone Music Entertainment
2022년	02월	9th Mini Album `Attacca`	피지컬앨범		세븐틴	보이그룹	17,614	YG PLUS
2022년	02월	혼돈의 장: FREEZE	피지컬앨범		투모로우바이투게더	보이그룹	17,391	YG PLUS
2022년	02월	BORDER : CARNIVAL	피지컬앨범		ENHYPEN	보이그룹	17,045	지니뮤직, Stone Music Entertainment
2022년	02월	YOU NEVER WALK ALONE	피지컬앨범		방탄소년단	보이그룹	17,024	YG PLUS
2022년	02월	Formula of Love: O+T=<3 (Result File Ver.)	피지컬앨범		TWICE	걸그룹	16,747	Dreamus
2022년	02월	화양연화 pt.2	피지컬앨범		방탄소년단	보이그룹	16,122	YG PLUS
2022년	02월	맛 (Hot Sauce) - The 1st Album	피지컬앨범		NCT DREAM	보이그룹	16,031	Dreamus
2022년	02월	ELEVEN	피지컬앨범		IVE (아이브)	걸그룹	15,972	Kakao Entertainment
2022년	02월	THE ALBUM	피지컬앨범		BLACKPINK	걸그룹	15,892	YG PLUS
2022년	08월	SMARTPHONE	피지컬앨범		YENA(최예나)	여자솔로	130,041	지니뮤직, Stone Music Entertainment
2022년	02월	WINGS	피지컬앨범		방탄소년단	보이그룹	15,104	YG PLUS
2022년	02월	TWICEcoaster : LANE 1	피지컬앨범		TWICE	걸그룹	15,000	Dreamus
2022년	02월	Hello Future - The 1st Album Repackage	피지컬앨범		NCT DREAM	보이그룹	14,184	Dreamus
2022년	02월	YELLOW PUNCH	피지컬앨범		로켓펀치 (Rocket Punch)	걸그룹	13,408	Kakao Entertainment
2022년	02월	화양연화 Young Forever	피지컬앨범		방탄소년단	보이그룹	13,338	YG PLUS
2022년	02월	THE STORY BEGINS	피지컬앨범		TWICE	걸그룹	13,303	Dreamus
2022년	02월	SIGNAL	피지컬앨범		TWICE	걸그룹	13,074	Dreamus
2022년	02월	화양연화 pt.1	피지컬앨범		방탄소년단	보이그룹	12,841	YG PLUS
2022년	02월	LOVE & FIGHT	피지컬앨범		라비(RAVI)	남자솔로	12,419	Warner Music
2022년	02월	DIMENSION : ANSWER	피지컬앨범		ENHYPEN	보이그룹	12,074	지니뮤직, Stone Music Entertainment
2022년	02월	BE	피지컬앨범		방탄소년단	보이그룹	11,927	YG PLUS
2022년	02월	7th Mini Album `헹가래`	피지컬앨범		세븐틴	보이그룹	11,434	YG PLUS
2022년	02월	O! RUL8 ,2?	피지컬앨범		방탄소년단	보이그룹	11,110	YG PLUS
2022년	02월	SQUARE UP	피지컬앨범		BLACKPINK	걸그룹	10,925	YG PLUS
2022년	02월	CRAZY IN LOVE	피지컬앨범		ITZY (있지)	걸그룹	10,616	Dreamus
2022년	02월	6equence	피지컬앨범		문별	남자솔로	10,419	Kakao Entertainment
2022년	02월	Fatal Love	피지컬앨범		몬스타엑스	보이그룹	10,378	Kakao Entertainment
2022년	02월	꿈의 장: MAGIC	피지컬앨범		투모로우바이투게더	보이그룹	10,210	YG PLUS
2022년	02월	TWICEcoaster : LANE 2	피지컬앨범		TWICE	걸그룹	9,997	Dreamus
2022년	02월	Skool Luv Affair	피지컬앨범		방탄소년단	보이그룹	9,726	YG PLUS
2022년	02월	DARK&WILD	피지컬앨범		방탄소년단	보이그룹	9,553	YG PLUS
2022년	02월	꿈의 장: ETERNITY	피지컬앨범		투모로우바이투게더	보이그룹	9,424	YG PLUS
2022년	02월	One Of A Kind	피지컬앨범		몬스타엑스	보이그룹	9,220	Kakao Entertainment
2022년	02월	2 Cool 4 Skool	피지컬앨범		방탄소년단	보이그룹	9,205	YG PLUS
2022년	02월	KILL THIS LOVE	피지컬앨범		BLACKPINK	걸그룹	8,903	YG PLUS
2022년	02월	Epik High Is Here 下	피지컬앨범		에픽하이 (EPIK HIGH)	남성듀오	8,883	지니뮤직
2022년	02월	꿈의 장: STAR	피지컬앨범		투모로우바이투게더	보이그룹	8,253	YG PLUS
2022년	02월	INVU - The 3rd Album	피지컬앨범		태연 (TAEYEON)	여자솔로	129,783	Dreamus
2022년	02월	GO生	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	7,361	Dreamus
2022년	02월	NEXT EPISODE (LP)	피지컬앨범		AKMU (악뮤)	혼성그룹	7,355	YG PLUS
2022년	02월	Sticker - The 3rd Album	피지컬앨범		NCT 127	보이그룹	7,355	Dreamus
2022년	02월	Midnight Guest	피지컬앨범		프로미스나인 (fromis_9)	걸그룹	7,251	YG PLUS
2022년	02월	STEREOTYPE	피지컬앨범		STAYC(스테이씨)	걸그룹	7,001	Kakao Entertainment
2022년	02월	IN生	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	6,508	Dreamus
2022년	02월	2021 Winter SMTOWN : SMCU EXPRESS	피지컬앨범		SMTOWN	프로젝트그룹	6,418	Dreamus
2024년	12월	Like A Flower - The 1st Mini Album	피지컬앨범		아이린 (IRENE)	여자솔로	129,037	Kakao Entertainment
2022년	02월	슈퍼 그럼요	피지컬앨범		우주소녀 쪼꼬미	걸그룹	5,729	Kakao Entertainment
2022년	02월	STAYDOM	피지컬앨범		STAYC(스테이씨)	걸그룹	5,438	Kakao Entertainment
2022년	02월	BAD LOVE - The 1st Mini Album (LP)	피지컬앨범		키 (KEY)	남자솔로	5,000	Dreamus
2022년	02월	THE CLAN pt.1 `LOST`	피지컬앨범		몬스타엑스	보이그룹	4,970	Kakao Entertainment
2022년	02월	폐허가 된다 해도	피지컬앨범		이승윤	남자솔로	4,952	Kakao Entertainment
2022년	02월	Cle 1 : MIROH	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	4,869	Dreamus
2022년	02월	Horn (META)	플랫폼앨범	MINIRECORD 앨범	에이핑크 (Apink)	걸그룹	4,713	Kakao Entertainment
2022년	02월	SPECIAL EDITION [How You Like That]	피지컬앨범		BLACKPINK	걸그룹	4,708	YG PLUS
2022년	02월	Special Album `; [Semicolon]`	피지컬앨범		세븐틴	보이그룹	4,667	YG PLUS
2022년	02월	Love Story (4 Season Project 季) - The 4th Mini Album	피지컬앨범		규현 (KYUHYUN)	남자솔로	4,649	Dreamus
2022년	02월	Star To A Young Culture	피지컬앨범		STAYC(스테이씨)	걸그룹	4,498	Kakao Entertainment
2022년	02월	에세이 ep.1	피지컬앨범		장민호	남자솔로	4,476	Kakao Entertainment
2022년	02월	NCT #127 Regular-Irregular - The 1st Album	피지컬앨범		NCT 127	보이그룹	4,298	Dreamus
2022년	02월	ZERO: FEVER EPILOGUE	피지컬앨범		ATEEZ (에이티즈)	보이그룹	4,294	지니뮤직, Stone Music Entertainment
2022년	02월	I am NOT	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	4,253	Dreamus
2022년	02월	Cle : LEVANTER	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	4,249	Dreamus
2022년	02월	Planet Nine : VOYAGER	피지컬앨범		원위 (ONEWE)	보이그룹	4,092	Kakao Entertainment
2022년	02월	THE CONNECT : DEJAVU	피지컬앨범		몬스타엑스	보이그룹	3,940	Kakao Entertainment
2022년	02월	Cle 2 : Yellow Wood	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	3,765	Dreamus
2022년	02월	THE CODE	피지컬앨범		몬스타엑스	보이그룹	3,738	Kakao Entertainment
2022년	02월	THE FIRST STEP : TREASURE EFFECT	피지컬앨범		TREASURE (트레저)	보이그룹	3,650	YG PLUS
2022년	03월	Glitch Mode - The 2nd Album	피지컬앨범		NCT DREAM	보이그룹	1,646,949	Dreamus
2022년	03월	ODDINARY	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	1,546,907	Dreamus
2022년	03월	`The ReVe Festival 2022 - Feel My Rhythm`	피지컬앨범		레드벨벳(Red Velvet)	걸그룹	346,526	Dreamus
2022년	03월	AD MARE	피지컬앨범		NMIXX	걸그룹	213,409	Dreamus
2022년	03월	I NEVER DIE	피지컬앨범		(여자)아이들	걸그룹	193,000	Kakao Entertainment
2022년	03월	VOYAGER	피지컬앨범		기현 (몬스타엑스)	남자솔로	183,087	Kakao Entertainment
2022년	03월	THE SECOND STEP : CHAPTER ONE	피지컬앨범		TREASURE (트레저)	보이그룹	149,349	YG PLUS
2022년	03월	REFUGE	피지컬앨범		문빈&산하	남성듀오	145,437	Kakao Entertainment
2022년	03월	1ST ALBUM PART 2 [LIBERTY : IN OUR COSMOS]	피지컬앨범		CRAVITY	보이그룹	144,543	Kakao Entertainment
2022년	03월	2021 Winter SMTOWN : SMCU EXPRESS	피지컬앨범		SMTOWN	프로젝트그룹	132,280	Dreamus
2022년	03월	The Road : Winter for Spring	피지컬앨범		슈퍼주니어 (Super Junior)	보이그룹	125,211	Dreamus
2022년	03월	Love Pt.1 : First Love	피지컬앨범		위아이 (WEi)	보이그룹	104,974	Kakao Entertainment
2022년	03월	It`s ME, It`s WE	피지컬앨범		TEMPEST(템페스트)	보이그룹	86,869	지니뮤직, Stone Music Entertainment
2022년	03월	The Best Album `Needle & Bubble`	피지컬앨범		뉴이스트 (NU`EST)	보이그룹	80,308	YG PLUS
2022년	03월	DAYDREAM	피지컬앨범		하이라이트(Highlight)	보이그룹	71,391	Kakao Entertainment
2022년	03월	Real Love	피지컬앨범		오마이걸 (OH MY GIRL)	걸그룹	70,116	Sony Music
2022년	03월	3RD DESIRE [Reve]	피지컬앨범		김우석	남자솔로	67,495	Sony Music
2023년	11월	To. X - The 5th Mini Album	피지컬앨범		태연 (TAEYEON)	여자솔로	109,500	Kakao Entertainment
2022년	03월	Play Game : AWAKE	피지컬앨범		Weeekly (위클리)	걸그룹	54,797	Kakao Entertainment
2024년	03월	Wish You Hell - The 2nd Mini Album	피지컬앨범		웬디 (WENDY)	여자솔로	100,000	Kakao Entertainment
2022년	03월	the collective soul and unconscious: chapter one	피지컬앨범		Billlie	걸그룹	44,730	Kakao Entertainment
2022년	03월	DIMENSION	피지컬앨범		XIA(준수)	남자솔로	39,400	YG PLUS
2022년	03월	설강화 OST	피지컬앨범		Various Artists	OST	37,058	Warner Music
2022년	03월	memeM	피지컬앨범		퍼플키스	걸그룹	36,140	Kakao Entertainment
2022년	03월	LOVE YOURSELF 轉 `Tear`	피지컬앨범		방탄소년단	보이그룹	33,250	YG PLUS
2022년	03월	FIRST IMPACT	피지컬앨범		Kep1er (케플러)	걸그룹	29,960	지니뮤직, Stone Music Entertainment
2022년	03월	THANK YOU	피지컬앨범		브레이브걸스 (Brave Girls)	걸그룹	28,591	Kakao Entertainment
2022년	03월	Play Game : AWAKE (META)	플랫폼앨범	MINIRECORD 앨범	Weeekly (위클리)	걸그룹	28,392	Kakao Entertainment
2022년	03월	Savage - The 1st Mini Album	피지컬앨범		aespa	걸그룹	27,903	Dreamus
2022년	03월	MAP OF THE SOUL : PERSONA	피지컬앨범		방탄소년단	보이그룹	26,111	YG PLUS
2022년	03월	LOVE YOURSELF 結 `Answer`	피지컬앨범		방탄소년단	보이그룹	25,810	YG PLUS
2022년	03월	혼돈의 장: FIGHT OR ESCAPE	피지컬앨범		투모로우바이투게더	보이그룹	24,904	YG PLUS
2022년	03월	웹툰 `나 혼자만 레벨업` OST Echo	피지컬앨범		더보이즈(THE BOYZ)	보이그룹	24,716	Kakao Entertainment
2023년	04월	ME (Nemo)	플랫폼앨범	NEMO 앨범	지수 (JISOO)	여자솔로	97,508	YG PLUS
2022년	03월	LOVE YOURSELF 承 `Her`	피지컬앨범		방탄소년단	보이그룹	24,515	YG PLUS
2022년	03월	Cherry Wish	피지컬앨범		체리블렛 (Cherry Bullet)	걸그룹	23,999	Kakao Entertainment
2022년	03월	History Of Kingdom : Part Ⅳ. Dann	피지컬앨범		KINGDOM (킹덤)	보이그룹	21,412	Warner Music
2022년	03월	NSQG 2 - The other side	피지컬앨범		존 노	남자솔로	20,771	Warner Music
2022년	03월	MORE & MORE	피지컬앨범		TWICE	걸그룹	20,292	Dreamus
2022년	03월	FANCY YOU	피지컬앨범		TWICE	걸그룹	20,044	Dreamus
2022년	03월	YES or YES	피지컬앨범		TWICE	걸그룹	20,026	Dreamus
2022년	03월	What is Love?	피지컬앨범		TWICE	걸그룹	20,000	Dreamus
2022년	03월	Summer Nights	피지컬앨범		TWICE	걸그룹	19,995	Dreamus
2022년	03월	Feel Special	피지컬앨범		TWICE	걸그룹	19,990	Dreamus
2022년	03월	Taste of Love	피지컬앨범		TWICE	걸그룹	19,980	Dreamus
2022년	03월	YOUNG-LUV.COM	피지컬앨범		STAYC(스테이씨)	걸그룹	19,810	Kakao Entertainment
2022년	03월	MAP OF THE SOUL : 7	피지컬앨범		방탄소년단	보이그룹	19,413	YG PLUS
2022년	03월	Butter	피지컬앨범		방탄소년단	보이그룹	19,012	YG PLUS
2022년	03월	ELEVEN	피지컬앨범		IVE (아이브)	걸그룹	18,224	Kakao Entertainment
2022년	03월	화양연화 Young Forever	피지컬앨범		방탄소년단	보이그룹	16,097	YG PLUS
2022년	03월	WINGS	피지컬앨범		방탄소년단	보이그룹	15,510	YG PLUS
2022년	03월	DIMENSION : ANSWER	피지컬앨범		ENHYPEN	보이그룹	15,428	지니뮤직, Stone Music Entertainment
2022년	03월	HORN	피지컬앨범		에이핑크 (Apink)	걸그룹	15,359	Kakao Entertainment
