년도	월	앨범명	앨범유형	플랫폼 앨범 종류	아티스트명	유형	음반 판매량	유통사
2023년	11월	Chill Kill - The 3rd Album	피지컬앨범		레드벨벳(Red Velvet)	걸그룹	422,653	Kakao Entertainment
2023년	11월	On My Youth - The 2nd Album	피지컬앨범		WayV	보이그룹	338,851	Kakao Entertainment
2023년	11월	2ND ALBUM [PHANTASY] Pt.2 Sixth Sense	피지컬앨범		더보이즈(THE BOYZ)	보이그룹	300,240	Kakao Entertainment
2023년	11월	ORANGE BLOOD (Weverse)	플랫폼앨범	WEVERSE 앨범	ENHYPEN	보이그룹	254,915	지니뮤직, Stone Music Entertainment
2023년	11월	樂-STAR (Nemo)	플랫폼앨범	NEMO 앨범	Stray Kids (스트레이 키즈)	보이그룹	193,132	Dreamus
2023년	11월	2ND ALBUM [PHANTASY] Pt.2 Sixth Sense (MINIRECORD)	플랫폼앨범	MINIRECORD 앨범	더보이즈(THE BOYZ)	보이그룹	141,408	Kakao Entertainment
2023년	04월	춘몽	피지컬앨범		박서진	남자솔로	72,618	Kakao Entertainment
2024년	05월	Wish You Hell - The 2nd Mini Album	피지컬앨범		웬디 (WENDY)	여자솔로	13,722	Kakao Entertainment
2023년	11월	[VillainS]	피지컬앨범		드림캐쳐	걸그룹	85,321	Kakao Entertainment
2023년	11월	Fact Check - The 5th Album	피지컬앨범		NCT 127	보이그룹	80,559	Kakao Entertainment
2023년	11월	11th Mini Album `SEVENTEENTH HEAVEN`	피지컬앨범		세븐틴	보이그룹	76,171	YG PLUS
2023년	03월	O	피지컬앨범		유주 (YUJU)	여자솔로	13,702	Warner Music
2023년	11월	iykyk	피지컬앨범		OMEGA X (오메가엑스)	보이그룹	69,112	다날엔터테인먼트
2023년	11월	Chill Kill - The 3rd Album (SMC)	플랫폼앨범	SMC 앨범	레드벨벳(Red Velvet)	걸그룹	60,000	Kakao Entertainment
2023년	11월	On My Youth - The 2nd Album (SMC)	플랫폼앨범	SMC 앨범	WayV	보이그룹	58,253	Kakao Entertainment
2022년	09월	Sunflower	피지컬앨범		최유정 (Weki Meki)	여자솔로	13,700	Kakao Entertainment
2023년	02월	Killer - The 2nd Album Repackage	피지컬앨범		키 (KEY)	남자솔로	78,686	Dreamus
2023년	11월	ColoRise (MINIRECORD)	플랫폼앨범	MINIRECORD 앨범	Weeekly (위클리)	걸그룹	50,016	Kakao Entertainment
2023년	11월	HIP	피지컬앨범		다크비(DKB)	보이그룹	47,943	뮤직앤뉴
2023년	11월	Drama - The 4th Mini Album (SMC)	플랫폼앨범	SMC 앨범	aespa	걸그룹	46,557	Kakao Entertainment
2023년	11월	CONTINUUM	피지컬앨범		빅스 (VIXX)	보이그룹	45,839	Kakao Entertainment
2023년	09월	소품집 Vol.1 (MINIRECORD)	플랫폼앨범	MINIRECORD 앨범	정동원	남자솔로	80,000	Kakao Entertainment
2023년	11월	11th Mini Album `SEVENTEENTH HEAVEN` (Weverse)	플랫폼앨범	WEVERSE 앨범	세븐틴	보이그룹	41,299	YG PLUS
2023년	11월	MUST HAVE (Nemo)	플랫폼앨범	NEMO 앨범	ATBO	보이그룹	40,653	Kakao Entertainment
2023년	11월	Feel me	피지컬앨범		골든차일드	보이그룹	39,991	Kakao Entertainment
2023년	11월	AMPERSAND ONE	피지컬앨범		앰퍼샌드원 (AMPERS&ONE)	보이그룹	38,367	Kakao Entertainment
2023년	06월	REALIEZ (MINIRECORD)	플랫폼앨범	MINIRECORD 앨범	강다니엘	남자솔로	102,360	Sony Music
2023년	11월	Press Play	피지컬앨범		NiziU (니쥬)	걸그룹	35,287	Dreamus
2023년	11월	I`VE MINE	피지컬앨범		IVE (아이브)	걸그룹	35,110	Kakao Entertainment
2023년	11월	Born to be XX	피지컬앨범		KISS OF LIFE	걸그룹	32,233	Kakao Entertainment
2023년	03월	Circle - The 1st Album	피지컬앨범		온유 (ONEW)	남자솔로	102,387	Dreamus
2023년	11월	The 4th Mini Album `VERSUS`	피지컬앨범		VIVIZ (비비지)	걸그룹	29,178	Kakao Entertainment
2023년	11월	The 4th Mini Album `VERSUS` (PLVE)	플랫폼앨범	PLVE 앨범	VIVIZ (비비지)	걸그룹	26,376	Kakao Entertainment
2023년	11월	ColoRise	피지컬앨범		Weeekly (위클리)	걸그룹	21,103	Kakao Entertainment
2023년	11월	[VillainS] (POCA)	플랫폼앨범	POCA 앨범	드림캐쳐	걸그룹	21,000	Kakao Entertainment
2023년	11월	MUST HAVE	피지컬앨범		ATBO	보이그룹	20,008	Kakao Entertainment
2023년	11월	Born to be XX (POCA)	플랫폼앨범	POCA 앨범	KISS OF LIFE	걸그룹	19,998	Kakao Entertainment
2023년	03월	Sour & Sweet	피지컬앨범		뱀뱀 (BamBam)	남자솔로	103,377	Kakao Entertainment
2023년	11월	Unfinished	피지컬앨범		포레스텔라(Forestella)	보이그룹	17,091	YG PLUS
2023년	11월	Cut-Out	피지컬앨범		WHIB(휘브)	보이그룹	16,220	Kakao Entertainment
2023년	08월	Reality Show - The 3rd Mini Album	피지컬앨범		유노윤호 (U-KNOW)	남자솔로	128,329	Kakao Entertainment
2023년	11월	2nd EP `Get Up`	피지컬앨범		NewJeans	걸그룹	14,315	YG PLUS
2023년	11월	1st EP [Favorite]	피지컬앨범		POW (파우)	보이그룹	13,580	Dreamus
2023년	02월	R	피지컬앨범		로제 (ROSE)	여자솔로	13,359	YG PLUS
2023년	11월	NOEASY	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	11,924	Dreamus
2023년	11월	MAXIDENT	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	11,404	Dreamus
2023년	11월	ONLY FUN (POCA)	플랫폼앨범	POCA 앨범	XODIAC	보이그룹	11,255	Sony Music
2023년	11월	Potential	피지컬앨범		FANTASY BOYS	보이그룹	11,184	Kakao Entertainment
2023년	11월	4th Album `Face the Sun`	피지컬앨범		세븐틴	보이그룹	10,792	YG PLUS
2023년	11월	ODDINARY	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	10,576	Dreamus
2023년	11월	열	피지컬앨범		LUCY	보이그룹	10,247	Kakao Entertainment
2023년	11월	11th Mini Album `SEVENTEENTH HEAVEN` (KiT)	플랫폼앨범	KIT 앨범	세븐틴	보이그룹	9,918	YG PLUS
2023년	11월	SUN SEEKER	피지컬앨범		CRAVITY	보이그룹	9,606	Kakao Entertainment
2023년	11월	가을, 그리움	피지컬앨범		황영웅	남자솔로	135,887	Kakao Entertainment
2022년	05월	DEEP - The 1st Mini Album	피지컬앨범		효연 (HYO)	여자솔로	13,064	Dreamus
2023년	11월	LOVE EFFECT (POCA)	플랫폼앨범	POCA 앨범	온앤오프 (ONF)	보이그룹	7,855	Sony Music
2023년	11월	KILL THIS LOVE	피지컬앨범		BLACKPINK	걸그룹	7,683	YG PLUS
2023년	11월	2nd EP `Get Up` (Weverse)	플랫폼앨범	WEVERSE 앨범	NewJeans	걸그룹	7,655	YG PLUS
2023년	11월	ON	피지컬앨범		82MAJOR (에이티투메이저)	보이그룹	7,465	지니뮤직, Stone Music Entertainment
2023년	11월	LOVE EFFECT	피지컬앨범		온앤오프 (ONF)	보이그룹	7,398	Sony Music
2023년	11월	side-B : memoirs of echo unseen (POCA)	플랫폼앨범	POCA 앨범	Billlie	걸그룹	7,218	Kakao Entertainment
2023년	11월	ODD-VENTURE	피지컬앨범		MCND	보이그룹	6,960	Sony Music
2023년	09월	기대 - The 2nd Mini Album	피지컬앨범		디오 (D.O.)	남자솔로	159,535	Kakao Entertainment
2023년	11월	시·詩·POEM	피지컬앨범		라포엠 (LA POEM)	보이그룹	6,522	Kakao Entertainment
2024년	01월	솔라감성 Part.7 (TAPE)	피지컬앨범		솔라	여자솔로	13,000	Kakao Entertainment
2023년	11월	DARK BLOOD	피지컬앨범		ENHYPEN	보이그룹	6,437	지니뮤직, Stone Music Entertainment
2023년	11월	1st EP `New Jeans`	피지컬앨범		NewJeans	걸그룹	6,033	YG PLUS
2023년	11월	Christmas EveL	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	5,928	Dreamus
2023년	04월	D-DAY (Weverse)	플랫폼앨범	WEVERSE 앨범	Agust D	남자솔로	187,267	YG PLUS
2023년	11월	0.1 flaws and all. (LP)	피지컬앨범		wave to earth	보이그룹	5,307	Warner Music/ADA
2023년	11월	BORN PINK	피지컬앨범		BLACKPINK	걸그룹	5,272	YG PLUS
2023년	11월	GO生	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	5,150	Dreamus
2023년	11월	HOUSE OF TRICKY : HOW TO PLAY	피지컬앨범		xikers(싸이커스)	보이그룹	5,127	Kakao Entertainment
2023년	11월	9th Mini Album `Attacca`	피지컬앨범		세븐틴	보이그룹	5,014	YG PLUS
2023년	11월	I`VE MINE (PLVE)	플랫폼앨범	PLVE 앨범	IVE (아이브)	걸그룹	5,013	Kakao Entertainment
2023년	11월	★★★★★ (5-STAR)	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	5,008	Dreamus
2023년	11월	ODD-VENTURE (POCA)	플랫폼앨범	POCA 앨범	MCND	보이그룹	4,771	Sony Music
2023년	11월	1st EP `New Jeans` (Weverse)	플랫폼앨범	WEVERSE 앨범	NewJeans	걸그룹	4,633	YG PLUS
2023년	10월	Layover (Weverse)	플랫폼앨범	WEVERSE 앨범	V	남자솔로	191,530	YG PLUS
2023년	11월	ASTERUM : The Shape of Things to Come	피지컬앨범		PLAVE	보이그룹	4,425	YG PLUS
2023년	03월	Rover - The 3rd Mini Album	피지컬앨범		카이 (KAI)	남자솔로	203,222	Dreamus
2023년	10월	Guilty - The 4th Mini Album	피지컬앨범		태민 (TAEMIN)	남자솔로	212,340	Kakao Entertainment
2023년	11월	÷ (NANUGI)	피지컬앨범		JUST B (저스트비)	보이그룹	4,110	뮤직앤뉴
2023년	11월	Dystopian`s Eutopia	피지컬앨범		넬 (Nell)	보이그룹	4,003	지니뮤직
2023년	11월	IN生	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	3,874	Dreamus
2023년	11월	반짝이는 워터멜론 OST	피지컬앨범		Various Artists	OST	3,800	뮤직앤뉴
2023년	11월	Screen Time	피지컬앨범		에픽하이 (EPIK HIGH)	남성듀오	3,744	지니뮤직
2023년	11월	I am YOU	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	3,735	Dreamus
2023년	11월	I am NOT	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	3,709	Dreamus
2023년	11월	ODD HOUR	피지컬앨범		NTX (엔티엑스)	보이그룹	3,695	Warner Music
2023년	11월	Livelock	피지컬앨범		Xdinary Heroes	보이그룹	3,685	Dreamus
2023년	03월	FACE (Weverse)	플랫폼앨범	WEVERSE 앨범	지민	남자솔로	317,578	YG PLUS
2023년	11월	Cle : LEVANTER	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	3,645	Dreamus
2023년	10월	가을, 그리움	피지컬앨범		황영웅	남자솔로	376,756	Kakao Entertainment
2023년	12월	THE WORLD EP.FIN : WILL	피지컬앨범		ATEEZ (에이티즈)	보이그룹	1,444,021	지니뮤직, Stone Music Entertainment
2023년	12월	Be There For Me	피지컬앨범		NCT 127	보이그룹	641,364	Kakao Entertainment
2023년	12월	THE WORLD EP.FIN : WILL (MINIRECORD)	플랫폼앨범	MINIRECORD 앨범	ATEEZ (에이티즈)	보이그룹	300,000	지니뮤직, Stone Music Entertainment
2023년	12월	Be There For Me (SMC)	플랫폼앨범	SMC 앨범	NCT 127	보이그룹	126,736	Kakao Entertainment
2023년	12월	Chill Kill - The 3rd Album	피지컬앨범		레드벨벳(Red Velvet)	걸그룹	107,521	Kakao Entertainment
2023년	12월	20&2 - The 9th Album	피지컬앨범		동방신기	보이그룹	79,622	Kakao Entertainment
2023년	09월	Layover (Weverse)	플랫폼앨범	WEVERSE 앨범	V	남자솔로	394,221	YG PLUS
2023년	12월	2ND ALBUM [PHANTASY] Pt.2 Sixth Sense	피지컬앨범		더보이즈(THE BOYZ)	보이그룹	62,079	Kakao Entertainment
2023년	12월	樂-STAR	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	59,369	Dreamus
2023년	06월	SHALALA - The 1st Mini Album	피지컬앨범		태용 (TAEYONG)	남자솔로	458,429	Kakao Entertainment
2023년	12월	ORANGE BLOOD (Weverse)	플랫폼앨범	WEVERSE 앨범	ENHYPEN	보이그룹	41,033	지니뮤직, Stone Music Entertainment
2023년	12월	Drama - The 4th Mini Album	피지컬앨범		aespa	걸그룹	39,922	Kakao Entertainment
2025년	2월	가인;달	피지컬앨범		송가인	여자솔로	12,800	Kakao Entertainment
2023년	12월	I`VE MINE	피지컬앨범		IVE (아이브)	걸그룹	35,781	Kakao Entertainment
2023년	12월	On My Youth - The 2nd Album	피지컬앨범		WayV	보이그룹	34,456	Kakao Entertainment
2023년	12월	R	피지컬앨범		로제 (ROSE)	여자솔로	12,519	YG PLUS
2023년	12월	ORANGE BLOOD	피지컬앨범		ENHYPEN	보이그룹	26,870	지니뮤직, Stone Music Entertainment
2023년	12월	Moment	피지컬앨범		ONE PACT (원팩트)	보이그룹	25,976	Warner Music
2023년	12월	I feel	피지컬앨범		(여자)아이들	걸그룹	25,525	Kakao Entertainment
2023년	12월	DARK BLOOD	피지컬앨범		ENHYPEN	보이그룹	21,276	지니뮤직, Stone Music Entertainment
2023년	12월	Boogie Man (Nemo)	플랫폼앨범	NEMO 앨범	LUCY	보이그룹	20,000	Kakao Entertainment
2023년	12월	4th Album `Face the Sun`	피지컬앨범		세븐틴	보이그룹	19,326	YG PLUS
2023년	12월	2nd EP `Get Up`	피지컬앨범		NewJeans	걸그룹	17,355	YG PLUS
2023년	11월	GOLDEN (Weverse)	플랫폼앨범	WEVERSE 앨범	정국	남자솔로	493,926	YG PLUS
2023년	12월	11th Mini Album `SEVENTEENTH HEAVEN`	피지컬앨범		세븐틴	보이그룹	14,887	YG PLUS
2023년	12월	KINGDOM	피지컬앨범		포르테나 (Fortena)	보이그룹	14,571	Kakao Entertainment
2023년	02월	ONE	피지컬앨범		이찬원	남자솔로	562,259	세일뮤직
2023년	12월	AMPERSAND ONE	피지컬앨범		앰퍼샌드원 (AMPERS&ONE)	보이그룹	13,221	Kakao Entertainment
2023년	12월	La Liberta	피지컬앨범		리베란테 (Libelante)	보이그룹	13,073	Kakao Entertainment
2024년	07월	SHOWDOWN	피지컬앨범		이채연	여자솔로	12,440	지니뮤직, Stone Music Entertainment
2023년	12월	Potential	피지컬앨범		FANTASY BOYS	보이그룹	12,391	Kakao Entertainment
2023년	12월	9th Mini Album `Attacca`	피지컬앨범		세븐틴	보이그룹	12,091	YG PLUS
2023년	12월	2nd EP `Get Up` (Weverse)	플랫폼앨범	WEVERSE 앨범	NewJeans	걸그룹	12,013	YG PLUS
2023년	12월	[VillainS]	피지컬앨범		드림캐쳐	걸그룹	11,686	Kakao Entertainment
2023년	12월	LOVE DIVE	피지컬앨범		IVE (아이브)	걸그룹	11,503	Kakao Entertainment
2023년	12월	BORN PINK	피지컬앨범		BLACKPINK	걸그룹	11,263	YG PLUS
2023년	12월	ODD-VENTURE	피지컬앨범		MCND	보이그룹	10,911	Sony Music
2023년	12월	I`ve IVE	피지컬앨범		IVE (아이브)	걸그룹	10,668	Kakao Entertainment
2023년	12월	NOEASY	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	10,645	Dreamus
2023년	12월	Chill Kill - The 3rd Album (SMC)	플랫폼앨범	SMC 앨범	레드벨벳(Red Velvet)	걸그룹	10,046	Kakao Entertainment
2023년	12월	MAXIDENT	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	10,037	Dreamus
2023년	12월	ODDINARY	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	9,903	Dreamus
2023년	12월	20&2 - The 9th Album (Nemo)	플랫폼앨범	NEMO 앨범	동방신기	보이그룹	9,832	Kakao Entertainment
2023년	12월	2ND FULL ALBUM `REBOOT`	피지컬앨범		TREASURE (트레저)	보이그룹	9,676	YG PLUS
2023년	12월	I`VE MINE (PLVE)	플랫폼앨범	PLVE 앨범	IVE (아이브)	걸그룹	8,981	Kakao Entertainment
2023년	12월	1st EP `New Jeans`	피지컬앨범		NewJeans	걸그룹	8,666	YG PLUS
2023년	12월	1st EP `New Jeans` (Weverse)	플랫폼앨범	WEVERSE 앨범	NewJeans	걸그룹	8,622	YG PLUS
2023년	12월	CONTINUUM	피지컬앨범		빅스 (VIXX)	보이그룹	7,721	Kakao Entertainment
2023년	12월	KILL THIS LOVE	피지컬앨범		BLACKPINK	걸그룹	7,287	YG PLUS
2023년	08월	Jack In The Box (HOPE Edition)	피지컬앨범		j-hope	남자솔로	582,445	YG PLUS
