날짜	년도	곡수	순위	곡 코드	음원명	아티스트명	앨범명	발매일	발매년도	장르_세부	장르	유통사명	기획사명
2023-01-01	2023년	1	1	99570005	Ditto	NewJeans	NewJeans 'OMG'	2023-01-02	2023년	댄스	가요	(주)와이지플러스	ADOR
2023-01-01	2023년	1	2	96424586	사건의 지평선	윤하 (YOUNHA)	YOUNHA 6th Album Repackage 'END THEORY : Final Edition'	2022-03-30	이전 발매	락	가요	주식회사 카카오엔터테인먼트	C9 ENTERTAINMENT
2023-01-01	2023년	1	3	97582507	Hype Boy	NewJeans	NewJeans 1st EP 'New Jeans'	2022-08-01	이전 발매	댄스	가요	(주)와이지플러스	ADOR
2023-01-01	2023년	1	4	99513995	NOT SORRY (Feat. pH-1) (Prod. by Slom)	이영지	쇼미더머니 11 Episode 3	2022-12-17	이전 발매	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2023-01-01	2023년	1	5	98661235	ANTIFRAGILE	LE SSERAFIM (르세라핌)	ANTIFRAGILE	2022-10-17	이전 발매	댄스	가요	(주)와이지플러스	쏘스뮤직
2023-01-01	2023년	1	6	97976355	After LIKE	IVE (아이브)	After LIKE	2022-08-22	이전 발매	댄스	가요	주식회사 카카오엔터테인먼트	스타쉽 엔터테인먼트
2023-01-01	2023년	1	7	98633640	Nxde	(여자)아이들	I love	2022-10-17	이전 발매	발라드	가요	주식회사 카카오엔터테인먼트	큐브 엔터테인먼트
2023-01-01	2023년	1	8	97582506	Attention	NewJeans	NewJeans 1st EP 'New Jeans'	2022-08-01	이전 발매	댄스	가요	(주)와이지플러스	ADOR
2023-01-01	2023년	1	9	98133352	새삥 (Prod. by ZICO) (Feat. 호미들)	지코 (ZICO)	스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)	2022-09-06	이전 발매	전체	OST	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2023-01-01	2023년	1	10	96480048	LOVE DIVE	IVE (아이브)	LOVE DIVE	2022-04-05	이전 발매	댄스	가요	주식회사 카카오엔터테인먼트	스타쉽 엔터테인먼트
2023-01-01	2023년	1	11	99512830	Candy	NCT DREAM	Candy - Winter Special Mini Album	2022-12-16	이전 발매	댄스	가요	(주)드림어스컴퍼니(국내)	SM ENTERTAINMENT
